/* DESCRIPTION:
Reference:	Nuernberg, D., M. Ziegler, C. Karas, R. Tiedemann, and M. Schmidt. 2008. Interacting Loop Current variability and Mississippi River discharge over the past 400 kyr. Earth and Planetary Science Letters, 272(1-2), 278-289, https://doi.org/10.1016/j.epsl.2008.04.051.
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/6417
Comment:	Empty data points were removed.
*/
Depth [cm]	Age [ka]	d18O (G.ruber w.)	d18O (G. crassaf.)	d18O (U.peregr.)	SST [C] from Mg/Ca	Coarse carb. [%]
2175	239591	-1.116		3.022	28.41	19.85
2180	240182	-0.074		3.232	26.82	
2185	240773	-0.433		3.159	26.72	22.807
2190	241364	-0.414		2.948	26.3	
2195	241955	-0.418		3.383	25.65	18.594
2200	242545	-0.124		3.199	26.59	
2205	243136	-0.524		3.286	25.87	16.549
2210	243727	-0.383		3.208	25.84	
2215	244318	-0.981		3.49	26.36	12.738
2220	244909	-0.591			30.6	
2225	245500	-0.168			29.28	4.52
2230	246091	0.08			27.26	
2235	246682	-0.782		3.77	25.27	4.109
2240	247273	-0.922				
2245	247864	-0.762				5.118
2248	248218	-0.638				
2252	248691	-0.917				3.427
2255	249045	-0.556				
2260	249636	-0.236				2.982
2265	250227	0.131				
2270	250818	-0.091				2.243
2275	251409	0.265				
2280	252000	-0.885		4.242	25.38	0.743
2285	252346	-1.339		4.116	25.7	2.253
2290	252691	-1.159		3.938	25.72	3.751
2295	253037	-1.355		3.914	27.32	
2300	253383	-1.214		3.838	26.73	
2305	253728	-1.197		3.884	27.21	1.978
2310	254074	-1.116		3.911	27.25	
2315	254420	-1.174		3.913	27.5	0.527
2320	254765	-0.847		3.94	26.85	3.794
2325	255111	-0.953			26.75	
2330	255457	-1.063			28.26	1.301
2335	255802	-0.51		3.918	28.39	
2340	256148	-1.013		4.034	28.23	6.983
2345	256494	-1.269		3.606	28.88	
2350	256840	-0.917		3.498	27.03	10.447
2355	257185	-1.19		3.951	27.96	
2360	257531	-0.75		3.811	29.3	
2365	257877	-0.592		3.931	25.81	7.501
2370	258222	-0.51		3.978	26.93	8.606
2375	258568	-0.836		4.03	27	
2380	258914	-0.559		3.846	27.63	5.739
2385	259259	-0.46		3.93	26.06	
2390	259605	-0.348		3.89	25.05	8.959
2395	259951	-0.549		3.887	25.34	
2398	260158	-0.787		3.933	25.14	22.444
2402	260435	-0.245		3.848	26.23	
2405	260642	-0.631		3.86	25.29	24.057
2410	260988	-0.839		3.8	26.34	
2415	261333	-0.412		3.569	26.42	26.7
2420	261679	-0.226		3.86	26.02	
2425	262025	-0.336		3.626	26.14	
2430	262370	-0.42		3.804	24.98	
2435	262716	-0.277		3.855	25.4	15.995
2440	263062	-0.437		3.852	25.9	
2445	263407	-0.774		3.722	25.98	17.708
2450	263753	-0.509		3.714	27.42	
2455	264099	-0.495		3.961	25.15	21.785
2460	264444	-0.548		3.914	25.28	
2465	264790	-1.392		3.999	25.69	17.631
2470	265136	-1.084		3.758	26.79	
2475	265481	-0.633		3.671	26.77	11.193
2480	265827	-0.737		3.684	27.13	
2485	266173	-0.881		3.511	25.62	9.901
2490	266519	-0.374		3.312	25.51	
2495	266864	-0.775		3.43	26.17	11.482
2500	267210	-0.707		3.418	24.99	
2505	267556	-0.667		3.561	24.98	9.94
2510	267901	-0.276		3.549	25.48	
2515	268247	-0.782		3.738	24.19	8.744
2520	268593	-0.637		3.725	23.91	
2525	268938	-0.957		3.594	24.54	9.842
2530	269284	-0.23		3.712	24.85	
2535	269630	-0.492		3.756	25.09	7.186
2540	269975	-0.266		3.89	24.87	
2545	270321	-0.294		3.703	24.85	8.224
2548	270528	-0.693		3.769	24.68	
2552	270805	-0.715		3.627		10.133
2555	271012	-0.436		3.835	24.44	
2560	271358	-0.113		3.91	24.43	12.238
2565	271704	-0.679		3.844	25.5	
2570	272049	-0.235		4.005	23.42	5.133
2575	272395	-0.076		4.15	24.39	
2580	272741	-0.01		3.752	23.96	2.269
2585	273086	-0.235		3.956	24.52	
2590	273432	-0.564		3.911	25.84	1.11
2595	273778	-1.19		3.861	26.13	
2600	274123	-1.21		4.065	24.16	20.771
2605	274469	-0.377		3.966	24.7	
2610	274815				23.41	8.287
2615	275160	-0.434		4.091	24.03	
2620	275506	-0.398		3.915	23.81	9.436
2625	275852	-0.148		3.823	24.25	
2630	276198	-0.505		4.133	24.35	8.809
2635	276543	-0.134		3.816	26.06	
2640	276889	-0.191		3.723	24.52	6.545
2645	277235	-0.26		3.973	23.89	
2650	277580	-0.823		3.772	23.87	9.551
