# DESCRIPTION:
# Reference: Zarriess, M; Mackensen, A (2010): The tropical rainbelt and productivity changes off northwest Africa: a 31,000-year high-resolution record. Marine Micropaleontology, 76(3-4), 76-91, https://doi.org/10.1016/j.marmicro.2010.06.001
# Reference: Zarriess, M et al. (2011): Bipolar seesaw in the northeastern tropical Atlantic during Heinrich stadials. Geophysical Research Letters, 38, L04706, https://doi.org/10.1029/2010GL046070
# Data from: https://doi.org/10.1594/PANGAEA.756401. Accessed 07 Jan 2023.
# Data from: https://doi.org/10.1594/PANGAEA.756437. Accessed 07 Jan 2023.
# Comment: The two time series combined in this file are out of sync by ~120 y at 31.1 ka BP.

Depth [m],Depth comp [mcd],Age [ka BP],Fe [cps],K [cps],Ti [cps]
5.13,5.28,39.4,34154,5892,
5.14,5.29,39.47,38663,5669,
5.15,5.3,39.54,33981,6193,
5.16,5.31,39.6,32038,5779,
5.17,5.32,39.67,34367,5684,
5.19,5.34,39.81,36737,5395,
5.2,5.35,39.87,33696,5636,
5.21,5.36,39.94,34214,5157,
5.22,5.37,40.01,34672,4798,
5.23,5.38,40.07,36018,5249,
5.24,5.39,40.14,37884,4929,
5.25,5.4,40.21,37399,4752,
5.26,5.41,40.27,38400,4862,
5.27,5.42,40.34,40977,4727,
5.28,5.43,40.41,38351,4717,
5.29,5.44,40.47,39084,4614,
5.3,5.45,40.54,39386,4951,
5.31,5.46,40.61,39711,4669,
5.32,5.47,40.68,41951,4617,
5.33,5.48,40.74,46599,4435,
5.34,5.49,40.81,46299,4637,
5.35,5.5,40.88,41544,4598,
5.36,5.51,40.94,43209,4376,
5.37,5.52,41.01,46785,4871,
5.38,5.53,41.08,43017,4812,
5.39,5.54,41.14,45947,4529,
5.4,5.55,41.21,42946,4368,
5.41,5.56,41.28,43275,4331,
5.42,5.57,41.35,42100,4789,
5.43,5.58,41.41,40653,4623,
5.44,5.59,41.48,39668,4538,
5.45,5.6,41.55,44492,4587,
5.46,5.61,41.61,40024,4735,
5.47,5.62,41.68,40862,4815,
5.48,5.63,41.75,43396,4734,
5.49,5.64,41.81,49300,4673,
5.5,5.65,41.88,42059,4712,
5.51,5.66,41.95,41778,4737,
5.52,5.67,42.01,43255,4735,
5.53,5.68,42.08,43207,4456,
5.54,5.69,42.15,40534,4883,
5.55,5.7,42.22,40687,4660,
5.56,5.71,42.28,39632,4841,
5.57,5.72,42.35,41658,4746,
5.58,5.73,42.42,40673,4602,
5.59,5.74,42.48,40395,4712,
5.6,5.75,42.55,41101,4287,
5.61,5.76,42.62,39893,4770,
5.62,5.77,42.68,38474,4952,
5.63,5.78,42.75,37917,4565,
5.64,5.79,42.82,44302,4698,
5.65,5.8,42.88,39069,4779,
5.66,5.81,42.95,40796,4771,
5.67,5.82,43.02,42632,4604,
5.68,5.83,43.09,45255,5047,
5.69,5.84,43.15,45240,4688,
5.7,5.85,43.22,44629,4499,
5.71,5.86,43.29,42487,4905,
5.72,5.87,43.35,42621,4898,
5.73,5.88,43.42,43796,4911,
5.74,5.89,43.49,43942,5013,
5.75,5.9,43.55,43505,4941,
5.76,5.91,43.62,45566,4474,
5.77,5.92,43.69,44021,4990,
5.78,5.93,43.76,46156,4748,
5.79,5.94,43.82,44248,4916,
5.8,5.95,43.89,43083,5087,
5.81,5.96,43.96,42255,4972,
5.82,5.97,44.02,41400,5041,
5.83,5.98,44.09,43990,4901,
5.84,5.99,44.16,42903,5252,
5.85,6,44.22,42061,5139,
5.86,6.01,44.29,41847,5096,
5.87,6.02,44.36,44879,5107,
5.88,6.03,44.42,47724,5138,
5.89,6.04,44.49,41866,5390,
5.9,6.05,44.56,40253,5320,
5.91,6.06,44.63,44208,5152,
5.92,6.07,44.69,43421,4989,
5.93,6.08,44.76,40792,5300,
5.94,6.09,44.83,44337,5025,
5.95,6.1,44.89,41018,5035,
5.96,6.11,44.96,45364,4880,
5.97,6.12,45.03,45917,5017,
5.99,6.14,45.16,46597,4910,
6,6.15,45.23,46256,4966,
6.01,6.16,45.29,43983,4750,
6.02,6.17,45.36,43484,4418,
6.03,6.18,45.43,40256,4604,
6.04,6.19,45.5,41953,4398,
6.05,6.2,45.56,44611,4461,
6.06,6.21,45.63,43945,4202,
6.07,6.22,45.7,42534,4060,
6.08,6.23,45.76,44787,4571,
6.09,6.24,45.83,42461,4330,
6.12,6.27,46.03,42961,4199,
6.13,6.28,46.1,43150,4330,
6.14,6.29,46.17,42582,4471,
6.15,6.3,46.23,43546,4605,
6.16,6.31,46.3,43678,4668,
6.17,6.32,46.37,43714,4678,
6.18,6.33,46.43,48498,4759,
6.19,6.34,46.5,47631,4658,
6.2,6.35,46.57,45251,4902,
6.21,6.36,46.63,43077,4716,
6.22,6.37,46.7,41471,4296,
6.23,6.38,46.77,42138,4879,
6.24,6.39,46.83,42452,4896,
6.25,6.4,46.9,43337,5037,
6.26,6.41,46.97,42138,4799,
6.27,6.42,47.04,40859,4802,
6.28,6.43,47.1,43676,5308,
6.29,6.44,47.17,40734,5414,
6.3,6.45,47.24,40550,5543,
6.31,6.46,47.3,42476,5135,
6.32,6.47,47.37,41079,5441,
6.33,6.48,47.44,37845,5010,
6.34,6.49,47.5,38108,5405,
6.35,6.5,47.57,39579,5705,
6.36,6.51,47.63,40501,5530,
6.37,6.52,47.69,44331,5376,
6.39,6.54,47.81,38803,5373,
6.4,6.55,47.87,42911,5748,
