# DESCRIPTION:
# Reference: Hai Cheng, Christoph Spötl, Sebastian F.M. Breitenbach, Ashish Sinha, Jasper A. Wassenburg, Klaus Peter Jochum, Denis Scholz, Xianglei Li, Liang Yi, Youbing Peng, Yanbin Lv, Pingzhong Zhang, Antonina Votintseva, Vadim Loginov, Youfeng Ning, Gayatri Kathayat and R. Lawrence Edwards. 2016. Climate variations of Central Asia on orbital to millennial timescales. Scientific Reports, 5, 36975. doi: 10.1038/srep36975.
# Data from: https://www.ncdc.noaa.gov/paleo/study/21350. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Empty data points were removed.

Depth [mm],Age [ka BP],d13C [per mil VPDB],d18O [per mil VPDB],Sr/Ca,S/Ca [per mil VPDB]
23.2,11.103,1.07,-7.68,0.00114,0.00039
23.3,11.113,1.09,-7.61,NaN,NaN
23.4,11.123,1.21,-7.5,0.00122,0.00035
23.5,11.134,1.5,-7.48,NaN,NaN
23.6,11.144,1.49,-7.57,0.00115,0.00045
23.7,11.154,1.62,-7.45,NaN,NaN
23.8,11.165,1.37,-7.42,0.00098,0.00035
23.9,11.175,1.11,-7.55,NaN,NaN
24,11.185,0.88,-7.83,0.00104,0.0004
24.1,11.196,0.81,-7.66,NaN,NaN
24.2,11.206,0.8,-7.76,0.00099,0.00036
24.3,11.216,0.85,-7.79,NaN,NaN
24.4,11.227,0.85,-7.67,0.00097,0.00033
24.5,11.237,0.82,-7.8,NaN,NaN
24.6,11.247,0.77,-7.93,0.00103,0.00024
24.7,11.258,0.88,-7.72,NaN,NaN
24.8,11.268,0.82,-7.88,0.00095,0.00034
24.9,11.278,0.87,-7.85,NaN,NaN
25,11.289,0.77,-7.9,0.00091,0.00042
25.1,11.3,0.82,-7.77,NaN,NaN
25.2,11.311,0.8,-7.71,0.00101,0.00039
25.3,11.322,0.78,-7.8,NaN,NaN
25.4,11.334,0.84,-7.51,0.00092,0.00039
25.5,11.345,0.78,-7.68,NaN,NaN
25.6,11.356,0.93,-7.51,0.00101,0.00034
25.7,11.367,0.83,-7.62,NaN,NaN
25.8,11.379,0.75,-7.58,0.00103,0.00046
25.9,11.39,0.87,-7.62,NaN,NaN
26,11.401,0.73,-7.77,0.00104,0.00032
26.1,11.413,0.81,-7.78,NaN,NaN
26.2,11.424,0.75,-7.81,0.00091,0.0004
26.3,11.435,0.82,-7.62,NaN,NaN
26.4,11.446,0.81,-7.67,0.0009,0.00037
26.5,11.458,0.75,-7.72,NaN,NaN
26.6,11.469,0.88,-7.7,0.00089,0.00044
26.7,11.48,0.88,-7.64,NaN,NaN
26.8,11.491,0.75,-7.72,0.00102,0.00045
26.9,11.503,0.81,-7.59,NaN,NaN
27,11.514,0.83,-7.61,0.00091,0.00045
27.1,11.525,0.7,-7.53,NaN,NaN
27.2,11.536,0.94,-7.54,0.00094,0.00041
27.3,11.548,0.86,-7.45,NaN,NaN
27.4,11.559,0.64,-7.61,0.00098,0.00031
27.5,11.57,0.72,-7.6,NaN,NaN
27.6,11.581,0.74,-7.67,0.00101,0.00045
27.7,11.593,0.82,-7.62,NaN,NaN
27.8,11.604,0.82,-7.55,0.001,0.00035
27.9,11.615,0.97,-7.39,NaN,NaN
28,11.626,0.9,-7.43,0.00108,0.00049
