# DESCRIPTION:
# Reference: Hai Cheng, Christoph Spötl, Sebastian F.M. Breitenbach, Ashish Sinha, Jasper A. Wassenburg, Klaus Peter Jochum, Denis Scholz, Xianglei Li, Liang Yi, Youbing Peng, Yanbin Lv, Pingzhong Zhang, Antonina Votintseva, Vadim Loginov, Youfeng Ning, Gayatri Kathayat and R. Lawrence Edwards. 2016. Climate variations of Central Asia on orbital to millennial timescales. Scientific Reports, 5, 36975. doi: 10.1038/srep36975.
# Data from: https://www.ncdc.noaa.gov/paleo/study/21350. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Empty data points were removed.

Depth [mm],Age [ka BP],d13C [per mil VPDB],d18O [per mil VPDB],Sr/Ca,S/Ca [per mil VPDB]
202.9,104.236,3.29,-7.31,0.00154,0.00058
203,104.244,3.33,-7.22,NaN,NaN
203.1,104.251,3.27,-7.27,0.00157,0.00055
203.2,104.259,3.42,-7.07,NaN,NaN
203.3,104.267,3.45,-7.11,0.00161,0.00049
203.4,104.274,3.69,-6.9,NaN,NaN
203.5,104.282,3.55,-6.93,0.00163,0.00058
203.6,104.29,3.7,-6.74,NaN,NaN
203.7,104.297,3.76,-6.83,0.00172,0.00068
203.8,104.305,3.73,-6.71,NaN,NaN
203.9,104.312,3.83,-6.53,0.00153,0.00062
204,104.32,3.69,-6.59,NaN,NaN
204.1,104.328,3.71,-6.46,0.00159,0.00052
204.2,104.335,3.77,-6.41,NaN,NaN
204.3,104.343,3.83,-6.18,0.00157,0.00051
204.4,104.35,3.76,-6.49,NaN,NaN
204.5,104.358,3.62,-6.59,0.00163,0.00066
204.6,104.366,3.3,-6.7,NaN,NaN
204.7,104.373,3.21,-6.73,0.00151,0.00047
204.8,104.381,2.97,-6.81,NaN,NaN
204.9,104.388,3.08,-6.76,0.00155,0.00052
205,104.396,2.76,-6.7,NaN,NaN
205.1,104.404,2.87,-6.78,0.00153,0.00059
205.2,104.411,3,-6.74,NaN,NaN
205.3,104.419,3.08,-6.66,0.0014,0.00052
205.4,104.427,3.01,-6.83,NaN,NaN
205.5,104.434,2.89,-6.82,0.00137,0.00051
205.6,104.442,2.65,-6.95,NaN,NaN
205.7,104.449,2.42,-7.05,0.00135,0.00049
205.8,104.457,2.12,-7.15,NaN,NaN
205.9,104.465,2.41,-7.02,0.00141,0.00064
206,104.472,2.28,-7.18,NaN,NaN
206.1,104.48,2.39,-7.1,0.00144,0.00061
206.2,104.487,2.26,-7.02,NaN,NaN
206.3,104.495,2.43,-7.09,0.00145,0.00056
206.4,104.503,2.37,-7.24,NaN,NaN
206.5,104.51,2.49,-7.02,0.0014,0.00058
206.6,104.518,2.64,-6.94,NaN,NaN
206.7,104.525,2.1,-7.04,0.00145,0.00056
206.8,104.533,1.76,-7.17,NaN,NaN
206.9,104.541,1.7,-7.19,0.00138,0.00055
207,104.548,1.91,-7.03,NaN,NaN
207.1,104.556,2.07,-7.03,0.00139,0.0005
207.2,104.564,2.26,-6.94,NaN,NaN
207.3,104.571,2.35,-6.85,0.00144,0.00058
207.4,104.579,1.74,-6.85,NaN,NaN
207.5,104.586,2.14,-6.92,0.00144,0.00068
207.6,104.594,2.29,-6.83,NaN,NaN
207.7,104.602,2.58,-6.66,0.00141,0.00058
207.8,104.609,2.64,-6.77,NaN,NaN
207.9,104.617,2.49,-6.79,0.00134,0.00053
208,104.624,2.36,-6.87,NaN,NaN
208.1,104.632,2.34,-6.96,0.00141,0.00057
208.2,104.64,2.33,-6.89,NaN,NaN
208.3,104.647,2.38,-6.87,0.00139,0.00055
208.4,104.655,2.41,-7.02,NaN,NaN
208.5,104.663,2.42,-6.97,0.00134,0.00058
208.6,104.67,2.46,-7.07,NaN,NaN
208.7,104.678,2.56,-7.17,0.00132,0.00049
208.8,104.685,2.59,-7.15,NaN,NaN
208.9,104.693,2.54,-7.14,0.00134,0.00049
209,104.701,2.45,-7.09,NaN,NaN
209.1,104.708,2.46,-7,0.00146,0.00062
209.2,104.716,2.52,-6.98,NaN,NaN
209.3,104.723,2.65,-7.04,0.00135,0.00053
209.4,104.731,2.8,-6.92,NaN,NaN
209.5,104.739,2.74,-7.06,0.00142,0.0006
209.6,104.746,2.6,-7.26,NaN,NaN
209.7,104.754,2.81,-7.12,0.00134,0.00049
209.8,104.761,2.67,-7.12,NaN,NaN
209.9,104.769,2.63,-7.16,0.00136,0.00059
210,104.777,2.56,-7.17,NaN,NaN
210.1,104.784,2.44,-7.23,0.00129,0.00054
210.2,104.792,2.42,-7.38,NaN,NaN
210.3,104.8,2.4,-7.39,0.00131,0.00045
210.4,104.807,2.44,-7.34,NaN,NaN
210.5,104.815,2.62,-7.14,0.00132,0.00048
210.6,104.822,2.72,-6.95,NaN,NaN
210.7,104.83,2.76,-7.04,0.00133,0.00054
210.8,104.838,2.52,-7.23,NaN,NaN
210.9,104.845,2.47,-7.3,0.0013,0.00046
211,104.853,2.42,-7.18,NaN,NaN
211.1,104.86,2.44,-7.12,0.00131,0.00038
211.2,104.868,2.65,-7.14,NaN,NaN
211.3,104.876,2.74,-6.97,0.00138,0.0004
211.4,104.883,2.93,-7.02,NaN,NaN
211.5,104.891,2.9,-7.05,0.0013,0.0005
211.6,104.898,2.98,-7.04,NaN,NaN
211.7,104.906,3.16,-6.83,0.0014,0.00045
211.8,104.914,2.91,-7.02,NaN,NaN
211.9,104.921,2.85,-6.9,0.00138,0.00054
212,104.929,2.9,-7.12,NaN,NaN
212.1,104.937,2.89,-7.06,0.00133,0.00054
212.2,104.944,2.66,-7.1,NaN,NaN
212.3,104.952,2.66,-7.13,0.00137,0.00058
212.4,104.959,2.52,-6.95,NaN,NaN
212.5,104.967,2.62,-6.85,0.00134,0.00067
212.6,104.975,2.46,-7.15,NaN,NaN
212.7,104.982,2.39,-7.12,0.00138,0.00065
212.8,104.99,2.25,-7.27,NaN,NaN
212.9,104.997,2.53,-7.03,0.0014,0.00074
213,105.005,2.73,-6.92,NaN,NaN
213.1,105.013,2.85,-6.85,0.00132,0.00049
213.2,105.02,2.92,-6.81,NaN,NaN
213.3,105.028,2.92,-6.77,0.00127,0.00043
213.4,105.036,2.73,-7.1,NaN,NaN
213.5,105.043,2.87,-6.91,0.00128,0.00048
213.6,105.051,2.96,-6.81,NaN,NaN
213.7,105.058,2.98,-6.89,0.00132,0.00047
213.8,105.066,3.04,-6.97,NaN,NaN
213.9,105.074,2.81,-7.05,0.00126,0.00043
214,105.081,2.94,-6.87,NaN,NaN
214.1,105.089,2.86,-6.94,0.00131,0.00054
214.2,105.096,2.69,-7.02,NaN,NaN
214.3,105.104,2.73,-6.83,0.00129,0.00044
214.4,105.112,2.73,-6.83,NaN,NaN
214.5,105.119,2.78,-7.06,0.00122,0.00051
214.6,105.127,2.93,-7.02,NaN,NaN
214.7,105.134,3.1,-7.02,0.00134,0.00054
214.8,105.142,3.04,-7.09,NaN,NaN
214.9,105.15,2.97,-7.03,0.00127,0.0005
215,105.157,2.93,-6.9,NaN,NaN
215.1,105.165,2.8,-7.05,0.00125,0.00048
215.2,105.173,2.79,-6.99,NaN,NaN
215.3,105.18,2.86,-6.99,0.00138,0.00054
215.4,105.188,2.68,-7.12,NaN,NaN
215.5,105.195,2.73,-7.19,0.00132,0.00048
215.6,105.203,2.73,-7.32,NaN,NaN
215.7,105.211,2.31,-7.64,0.00124,0.00042
215.8,105.218,2.52,-7.44,NaN,NaN
215.9,105.226,2.63,-7.4,0.00131,0.00045
216,105.233,2.55,-7.39,NaN,NaN
216.1,105.241,2.44,-7.34,0.00129,0.00045
216.2,105.249,2.44,-7.3,NaN,NaN
216.3,105.256,2.33,-7.1,0.00134,0.00044
216.4,105.264,2.32,-6.93,NaN,NaN
216.5,105.271,2.41,-7.11,0.00132,0.00048
216.6,105.279,2.39,-7.27,NaN,NaN
216.7,105.287,2.42,-7.42,0.00133,0.00048
216.8,105.294,2.39,-7.74,NaN,NaN
216.9,105.302,2.42,-7.66,0.00126,0.00036
217,105.31,2.06,-7.73,NaN,NaN
217.1,105.317,1.98,-7.88,0.00136,0.00041
217.2,105.325,2.26,-7.59,NaN,NaN
217.3,105.332,2.52,-7.41,0.00131,0.0004
217.4,105.34,2.56,-7.24,NaN,NaN
217.5,105.348,2.73,-7.12,0.00131,0.00048
217.6,105.355,2.93,-7.05,NaN,NaN
217.7,105.363,3.03,-6.99,0.0013,0.00043
217.8,105.37,3.17,-6.87,NaN,NaN
217.9,105.378,3.09,-6.9,0.00135,0.00041
218,105.386,2.96,-7,NaN,NaN
218.1,105.393,2.64,-7.41,0.00132,0.00045
218.2,105.401,2.26,-7.21,NaN,NaN
218.3,105.408,2.08,-7.59,0.00138,0.00049
218.4,105.416,2.01,-7.46,NaN,NaN
218.5,105.424,2.35,-7.22,0.00134,0.00048
218.6,105.431,2.6,-6.92,NaN,NaN
218.7,105.439,2.42,-7.42,0.00132,0.00047
218.8,105.447,2.27,-7.65,NaN,NaN
218.9,105.454,2.37,-7.53,0.00138,0.00044
219,105.462,2.51,-7.32,NaN,NaN
219.1,105.469,3.06,-7.02,0.00132,0.00045
219.2,105.477,4.33,-6.57,NaN,NaN
219.3,105.485,5.32,-6.39,0.00127,0.0005
219.4,105.492,5.65,-6.54,NaN,NaN
219.5,105.5,5.74,-6.75,0.00127,0.00037
219.6,105.507,5.45,-7.21,NaN,NaN
219.7,105.515,5.37,-7.48,0.00126,0.00041
219.8,105.523,5.25,-7.48,NaN,NaN
219.9,105.53,5.17,-7.45,0.0012,0.00044
220,105.538,4.55,-7.71,NaN,NaN
220.1,105.546,4.05,-7.79,0.00123,0.00046
220.2,105.553,3.87,-7.76,NaN,NaN
220.3,105.561,3.65,-7.85,0.00119,0.00047
220.4,105.568,3.43,-7.88,NaN,NaN
220.5,105.576,3.26,-7.92,0.00124,0.00054
220.6,105.584,3.24,-7.86,NaN,NaN
220.7,105.591,3.34,-7.86,0.00127,0.00052
220.8,105.599,4.15,-7.64,NaN,NaN
220.9,105.606,4.09,-7.55,0.00123,0.00049
221,105.614,3.83,-7.77,NaN,NaN
221.1,105.622,3.68,-7.8,0.00125,0.00048
221.2,105.629,3.75,-7.81,NaN,NaN
221.3,105.637,3.68,-7.76,0.0013,0.00048
221.4,105.644,3.47,-7.9,NaN,NaN
221.5,105.652,3.21,-8.22,0.00133,0.00048
221.6,105.66,3.28,-8.06,NaN,NaN
221.7,105.667,3.06,-8.09,0.00133,0.00049
221.8,105.675,3.02,-8.07,NaN,NaN
221.9,105.683,2.87,-8.02,0.00134,0.0005
222,105.69,2.69,-8.17,NaN,NaN
222.1,105.698,2.57,-8.19,0.00132,0.00051
222.2,105.705,2.62,-8.26,NaN,NaN
222.3,105.713,2.67,-8.23,0.00128,0.00041
222.4,105.721,3.04,-8.14,NaN,NaN
222.5,105.728,3.45,-8.02,0.00112,0.00048
222.6,105.736,3.28,-8.28,NaN,NaN
222.7,105.743,3.22,-8.27,0.00097,0.00041
222.8,105.751,3.34,-8.33,NaN,NaN
222.9,105.759,3.5,-8.3,0.00105,0.00037
223,105.766,3.4,-8.25,NaN,NaN
223.1,105.774,3.43,-8.38,0.00105,0.00036
223.2,105.781,3.53,-8.17,NaN,NaN
223.3,105.789,3.37,-8.3,0.00109,0.00041
223.4,105.797,3.28,-8.19,NaN,NaN
223.5,105.804,3.27,-8.28,0.00122,0.0004
223.6,105.812,3.24,-8.38,NaN,NaN
223.7,105.82,3.24,-8.43,0.00115,0.00033
223.8,105.827,3.38,-8.22,NaN,NaN
223.9,105.835,3.3,-8.38,0.0012,0.00035
224,105.842,3.07,-8.07,NaN,NaN
224.1,105.85,3.42,-8.22,0.0011,0.00031
224.2,105.858,3.55,-8.24,NaN,NaN
224.3,105.865,3.68,-8.03,0.00113,0.00028
224.4,105.873,3.81,-8.11,NaN,NaN
224.5,105.88,3.82,-8.1,0.00109,0.00026
224.6,105.888,3.87,-8,NaN,NaN
224.7,105.896,3.79,-8.15,0.00112,0.00035
224.8,105.903,3.74,-8.08,NaN,NaN
224.9,105.911,3.65,-8.16,0.00113,0.00033
225,105.919,3.55,-8.18,NaN,NaN
225.1,105.926,3.49,-8.25,0.00112,0.00022
225.2,105.934,3.5,-8.27,NaN,NaN
225.3,105.941,3.5,-8.37,0.00114,0.00032
225.5,105.957,3.16,-8.41,0.0012,0.00028
225.6,105.964,2.98,-8.28,NaN,NaN
225.7,105.972,3.4,-8.25,0.00114,0.0004
225.8,105.979,3.5,-8.27,NaN,NaN
225.9,105.987,3.31,-7.9,0.0012,0.00035
226,105.995,3.48,-7.77,NaN,NaN
226.1,106.002,3.59,-7.82,0.00125,0.00035
226.2,106.01,3.68,-7.72,NaN,NaN
226.3,106.017,3.53,-7.87,0.00133,0.00048
226.4,106.025,3.25,-7.95,NaN,NaN
226.5,106.033,3.03,-8.26,0.00131,0.0004
226.6,106.04,3.01,-8.14,NaN,NaN
226.7,106.048,3.01,-8.11,0.00135,0.0004
226.8,106.056,2.88,-8.31,NaN,NaN
226.9,106.063,3.1,-8.43,0.00154,0.00038
227,106.071,3.18,-9.35,NaN,NaN
227.1,106.078,3.05,-8.87,0.00154,0.0004
227.2,106.086,2.91,-8.82,NaN,NaN
227.3,106.094,2.9,-8.88,0.00125,0.00031
227.4,106.101,2.83,-8.64,NaN,NaN
227.5,106.109,2.78,-8.68,0.00126,0.00041
227.6,106.116,2.77,-8.65,NaN,NaN
227.7,106.124,2.77,-8.64,0.00144,0.00042
227.8,106.132,2.88,-8.46,NaN,NaN
227.9,106.139,2.96,-8.5,0.00172,0.001
228,106.147,2.89,-8.4,NaN,NaN
228.1,106.154,2.89,-8.39,0.00153,0.00129
228.2,106.162,2.85,-8.3,NaN,NaN
228.3,106.17,2.85,-8.21,0.00141,0.00104
228.4,106.177,2.84,-8.33,NaN,NaN
228.5,106.185,2.72,-8.39,0.00139,0.00115
228.6,106.193,2.64,-8.41,NaN,NaN
228.7,106.2,2.68,-8.41,0.00148,0.00167
228.8,106.208,2.78,-8.37,NaN,NaN
228.9,106.215,2.73,-8.61,0.00159,0.00109
229,106.223,2.75,-8.57,NaN,NaN
229.1,106.231,2.72,-8.51,0.00171,0.00105
229.2,106.238,2.48,-8.66,NaN,NaN
229.3,106.246,2.6,-8.62,0.00164,0.0008
229.4,106.253,2.56,-8.68,NaN,NaN
229.5,106.261,2.57,-8.78,0.00159,0.0008
229.6,106.269,2.55,-9,NaN,NaN
229.7,106.276,2.47,-8.96,0.00159,0.00077
229.8,106.284,2.66,-9.06,NaN,NaN
229.9,106.291,2.46,-9.29,0.00147,0.00061
230,106.299,2.58,-9.28,NaN,NaN
230.1,106.307,2.47,-9.4,0.00131,0.00057
230.2,106.314,2.67,-9.24,NaN,NaN
230.3,106.322,2.73,-9.09,0.00124,0.00068
230.4,106.33,2.7,-9.07,NaN,NaN
230.5,106.337,2.73,-8.91,0.00123,0.00067
230.6,106.345,2.56,-9.16,NaN,NaN
230.7,106.352,2.48,-9.21,0.00131,0.00064
230.8,106.36,2.5,-9.18,NaN,NaN
230.9,106.368,2.75,-9.25,0.00124,0.0007
231,106.375,2.95,-9.17,NaN,NaN
231.1,106.383,2.94,-9.01,0.00121,0.00052
231.2,106.39,2.92,-9.01,NaN,NaN
231.3,106.398,2.93,-8.77,0.00127,0.00053
231.4,106.406,2.83,-8.75,NaN,NaN
231.5,106.413,2.69,-8.87,0.0013,0.00069
231.6,106.421,2.63,-8.92,NaN,NaN
231.7,106.429,2.89,-8.71,0.00124,0.00048
231.8,106.436,2.8,-8.82,NaN,NaN
231.9,106.444,2.89,-8.85,0.00125,0.0005
232,106.451,2.82,-8.96,NaN,NaN
232.1,106.459,2.73,-9.04,0.00127,0.00047
232.2,106.467,2.81,-9.07,NaN,NaN
232.3,106.474,2.86,-9.03,0.001,0.00055
232.4,106.482,2.95,-9.01,NaN,NaN
232.5,106.489,2.91,-9.11,0.00106,0.0007
232.6,106.497,2.92,-9.17,NaN,NaN
232.7,106.505,2.79,-9.17,0.00113,0.00071
232.8,106.512,2.77,-9.06,NaN,NaN
232.9,106.52,2.79,-9.17,0.0012,0.00078
233,106.527,2.79,-9.03,NaN,NaN
233.1,106.535,2.75,-9.15,0.00109,0.00076
233.2,106.543,2.84,-9.06,NaN,NaN
233.3,106.55,2.79,-9.06,0.00113,0.00056
233.4,106.558,2.82,-9.28,NaN,NaN
233.5,106.566,2.76,-9.31,0.00113,0.00077
233.6,106.573,2.73,-9.36,NaN,NaN
233.7,106.581,2.74,-9.28,0.0011,0.00084
233.8,106.588,2.67,-9.35,NaN,NaN
233.9,106.596,2.73,-9.23,0.00117,0.0009
234,106.604,2.75,-9.18,NaN,NaN
234.1,106.611,2.71,-9.19,0.00109,0.00085
234.2,106.619,2.72,-9.05,NaN,NaN
234.3,106.626,2.74,-8.96,0.00112,0.00072
234.4,106.634,2.62,-8.89,NaN,NaN
234.5,106.642,2.66,-8.8,0.00106,0.00055
234.6,106.649,2.57,-8.77,NaN,NaN
234.7,106.657,2.5,-8.82,0.00106,0.00049
234.8,106.664,2.57,-8.89,NaN,NaN
234.9,106.672,2.52,-8.98,0.00117,0.00068
235,106.68,2.37,-9.04,NaN,NaN
235.1,106.687,2.23,-9.17,0.00118,0.00083
235.2,106.695,2.05,-9.19,NaN,NaN
235.3,106.703,1.97,-9.37,0.00117,0.00062
235.4,106.71,2.23,-9.28,NaN,NaN
235.5,106.718,2.48,-9.13,0.00101,0.00065
235.6,106.725,2.43,-9.16,NaN,NaN
235.7,106.733,2.42,-9.01,0.00102,0.00063
235.8,106.741,2.13,-9.13,NaN,NaN
235.9,106.748,2.24,-9.18,0.00102,0.00076
236,106.756,1.68,-8.78,NaN,NaN
236.1,106.763,2.51,-8.9,0.00102,0.00084
236.2,106.771,2.64,-8.82,NaN,NaN
236.3,106.779,2.63,-8.75,0.00112,0.00067
236.4,106.786,2.43,-8.89,NaN,NaN
236.5,106.794,2.33,-9.04,0.00113,0.00079
236.6,106.802,2.29,-8.86,NaN,NaN
236.7,106.809,2.31,-8.8,0.00108,0.00068
236.8,106.817,2.28,-8.88,NaN,NaN
236.9,106.824,2.36,-8.73,0.00104,0.00057
237,106.832,2.34,-8.54,NaN,NaN
237.1,106.84,2.42,-8.51,0.00108,0.00051
237.2,106.847,2.22,-8.45,NaN,NaN
237.3,106.855,2.11,-8.24,0.00121,0.00065
237.4,106.862,2.14,-8.18,NaN,NaN
237.5,106.87,2.15,-8.29,0.00121,0.00092
237.6,106.878,2.28,-8.41,NaN,NaN
237.7,106.885,2.27,-8.42,0.00114,0.00096
237.8,106.893,2.36,-8.42,NaN,NaN
237.9,106.9,2.39,-8.36,0.00108,0.00077
238,106.908,2.35,-8.44,NaN,NaN
238.1,106.916,2.37,-8.43,0.00111,0.00052
238.2,106.923,2.42,-8.57,NaN,NaN
238.3,106.931,2.26,-8.58,0.00109,0.00079
238.4,106.939,2.2,-8.63,NaN,NaN
238.5,106.946,2.17,-8.54,0.00098,0.00068
238.6,106.954,2.34,-8.62,NaN,NaN
238.7,106.961,2.34,-8.59,0.00097,0.00041
238.8,106.969,2.39,-8.71,NaN,NaN
238.9,106.977,2.47,-8.62,0.001,0.00045
239,106.984,2.26,-8.56,NaN,NaN
239.1,106.992,2.33,-8.6,0.0011,0.00054
239.2,106.999,2.34,-8.64,NaN,NaN
239.3,107.007,2.37,-8.54,0.00103,0.00055
239.4,107.015,2.31,-8.55,NaN,NaN
239.5,107.022,2.31,-8.49,0.00097,0.00046
239.6,107.03,2.2,-8.54,NaN,NaN
239.7,107.037,2.34,-8.3,0.00097,0.00049
239.8,107.045,2.41,-8.27,NaN,NaN
239.9,107.053,2.32,-8.11,0.00098,0.00051
240,107.06,2.27,-8.08,NaN,NaN
240.1,107.068,2.39,-8.03,0.00098,0.00047
240.2,107.076,2.32,-8.02,NaN,NaN
240.3,107.083,2.36,-7.93,0.00105,0.00051
240.4,107.091,2.38,-7.85,NaN,NaN
240.5,107.098,2.38,-7.69,0.00112,0.00067
240.6,107.106,2.29,-7.67,NaN,NaN
240.7,107.114,2.32,-7.49,0.00117,0.00085
240.8,107.121,2.28,-7.47,NaN,NaN
240.9,107.129,2.23,-7.42,0.00108,0.00069
241,107.136,2.21,-7.37,NaN,NaN
241.1,107.144,2.25,-7.26,0.00099,0.00071
241.2,107.152,2.26,-7.28,NaN,NaN
241.3,107.159,2.35,-7.24,0.00104,0.00054
241.4,107.167,2.49,-7.19,NaN,NaN
241.5,107.174,2.5,-7.27,0.00114,0.00051
241.6,107.182,2.44,-7.29,NaN,NaN
241.7,107.19,2.39,-7.41,0.00115,0.00045
241.8,107.197,2.32,-7.52,NaN,NaN
241.9,107.205,2.34,-7.53,0.00111,0.00037
242,107.213,2.36,-7.58,NaN,NaN
242.1,107.22,2.46,-7.67,0.00117,0.0004
242.2,107.228,2.46,-7.77,NaN,NaN
242.3,107.235,2.55,-7.68,0.00119,0.00035
242.4,107.243,2.5,-7.89,NaN,NaN
242.5,107.251,2.47,-7.95,0.00113,0.00044
242.6,107.258,2.36,-8,NaN,NaN
242.7,107.266,2.31,-8.02,0.00121,0.00037
242.8,107.273,2.22,-8.06,NaN,NaN
242.9,107.281,2.07,-8.2,0.00114,0.00036
243,107.289,1.97,-8.1,NaN,NaN
243.1,107.296,1.84,-8.37,0.00125,0.00046
243.2,107.304,1.91,-8.4,NaN,NaN
243.3,107.312,1.92,-8.35,0.00113,0.00029
243.4,107.319,2.01,-8.32,NaN,NaN
243.5,107.327,1.96,-8.3,0.0012,0.00039
243.6,107.334,1.87,-8.41,NaN,NaN
243.7,107.342,NaN,NaN,0.0011,0.00031
243.8,107.35,1.95,-8.36,NaN,NaN
243.9,107.357,1.8,-8.51,0.00122,0.00045
244,107.365,1.94,-8.33,NaN,NaN
244.1,107.372,2.24,-8.27,0.00119,0.00047
244.2,107.38,2.43,-8.15,NaN,NaN
244.3,107.388,2.63,-8.05,0.00118,0.00067
244.4,107.395,2.48,-8.1,NaN,NaN
244.5,107.403,2.96,-7.88,0.00117,0.00052
244.6,107.41,3.37,-7.39,NaN,NaN
244.7,107.418,2.82,-7.69,0.00122,0.0005
244.8,107.426,2.41,-8.02,NaN,NaN
244.9,107.433,2.32,-7.93,0.00121,0.00057
245,107.441,2.01,-8.2,NaN,NaN
245.1,107.449,3.01,-7.62,0.00124,0.00057
245.2,107.456,3.86,-6.4,NaN,NaN
245.3,107.464,4.46,-5.81,0.00123,0.00054
245.4,107.471,5.02,-4.97,NaN,NaN
245.5,107.479,5.47,-4.03,0.00116,0.00059
245.6,113.199,5.38,-3.8,NaN,NaN
245.7,113.206,5.62,-3.47,0.00125,0.00057
245.8,113.213,5.67,-3.44,NaN,NaN
245.9,113.22,5.96,-3.21,0.00126,0.00055
246,113.226,5.69,-3.63,NaN,NaN
246.1,113.233,5.04,-3.4,0.00127,0.00057
246.3,113.247,5.24,-3.36,0.00121,0.00067
246.4,113.254,5.71,-3.11,NaN,NaN
246.5,113.261,5.62,-3.01,0.00131,0.00084
246.6,113.268,5.04,-3.31,NaN,NaN
246.7,113.275,4.85,-3.24,0.00122,0.00078
246.8,113.282,4.87,-3.17,NaN,NaN
246.9,113.289,4.74,-3.09,0.0012,0.00088
247,113.296,4.49,-3.19,NaN,NaN
247.1,113.303,4.28,-3.15,0.00107,0.00088
247.2,113.31,4.06,-3.21,NaN,NaN
247.3,113.317,3.66,-3.44,0.00114,0.0011
247.4,113.324,3.78,-3.62,NaN,NaN
247.5,113.331,2.54,-4.16,0.00113,0.00103
247.6,113.338,2.5,-4.16,NaN,NaN
247.7,113.345,2.54,-4.06,0.00109,0.00078
247.8,113.352,2.68,-4.07,NaN,NaN
247.9,113.359,2.64,-4,0.00107,0.00072
248,113.366,2.88,-4.05,NaN,NaN
248.1,113.373,2.9,-3.96,0.00105,0.00088
248.2,113.38,2.93,-3.95,NaN,NaN
248.3,113.387,2.91,-3.95,0.00112,0.00064
248.4,113.394,2.95,-4.05,NaN,NaN
248.5,113.401,3.07,-3.94,0.00115,0.00052
248.6,113.408,3.19,-3.8,NaN,NaN
248.7,113.415,3.22,-3.81,0.00104,0.00048
248.8,113.422,3.08,-3.8,NaN,NaN
248.9,113.429,2.94,-3.93,0.00106,0.00056
249,113.436,2.86,-3.92,NaN,NaN
249.1,113.443,2.7,-3.88,0.00108,0.00048
249.2,113.449,2.47,-4.05,NaN,NaN
249.3,113.456,2.42,-4.1,0.00114,0.00043
249.4,113.463,2.6,-3.95,NaN,NaN
249.5,113.47,2.66,-3.89,0.00107,0.00063
249.6,113.477,2.73,-3.83,NaN,NaN
249.7,113.484,2.55,-3.97,0.00091,0.00061
249.8,113.491,2.62,-3.78,NaN,NaN
249.9,113.498,2.6,-3.8,0.00103,0.00061
250,113.505,2.54,-3.84,NaN,NaN
250.1,113.512,2.41,-4.04,0.00099,0.00066
250.2,113.519,2.11,-4.16,NaN,NaN
250.3,113.526,2.16,-4.03,0.00076,0.00049
250.4,113.533,2.19,-4.06,NaN,NaN
250.5,113.54,2.23,-3.98,0.0009,0.00083
250.6,113.547,2.18,-4.02,NaN,NaN
250.7,113.554,2.14,-3.98,0.00114,0.00076
250.8,113.561,2.09,-3.89,NaN,NaN
250.9,113.568,2.01,-3.87,0.00116,0.00088
251,113.575,2.07,-3.94,NaN,NaN
251.1,113.582,2.05,-3.89,0.00121,0.00094
251.2,113.589,1.89,-3.85,NaN,NaN
251.3,113.596,1.87,-3.96,0.00135,0.00093
251.4,113.603,1.87,-3.87,NaN,NaN
251.5,113.61,2,-3.79,0.00134,0.00072
251.6,113.617,1.96,-3.86,NaN,NaN
251.7,113.624,1.86,-3.95,0.00143,0.0006
251.8,113.631,1.91,-4.03,NaN,NaN
251.9,113.638,1.95,-4.08,0.0013,0.00049
252,113.645,2.2,-4.05,NaN,NaN
252.1,113.652,2.3,-3.91,0.00136,0.00072
252.2,113.659,2.04,-4.01,NaN,NaN
252.3,113.666,1.92,-4.01,0.00136,0.00075
252.4,113.672,1.93,-4.2,NaN,NaN
252.5,113.679,1.85,-4.11,0.00128,0.00059
252.6,113.686,2.01,-4.12,NaN,NaN
252.7,113.693,1.96,-4.22,0.0013,0.00062
252.8,113.7,1.75,-4.29,NaN,NaN
252.9,113.707,1.85,-4.25,0.00134,0.00061
253,113.714,1.85,-4.26,NaN,NaN
253.1,113.721,1.82,-4.12,0.0013,0.0006
253.2,113.728,1.82,-4.2,NaN,NaN
253.3,113.735,1.73,-4.15,0.00123,0.00059
253.4,113.742,1.89,-4.16,NaN,NaN
253.5,113.749,1.88,-4.05,0.00139,0.0006
253.6,113.756,2,-4.13,NaN,NaN
253.7,113.763,NaN,NaN,0.00128,0.0007
253.8,113.77,1.76,-4.16,NaN,NaN
253.9,113.777,1.77,-4.04,0.00129,0.00078
254,113.784,1.88,-4.05,NaN,NaN
254.1,113.791,1.82,-4.16,0.00129,0.0007
254.2,113.798,1.9,-4.08,NaN,NaN
254.3,113.805,1.95,-4.06,0.00132,0.00081
254.4,113.812,1.76,-4.1,NaN,NaN
254.5,113.819,1.65,-4.26,0.00123,0.00077
254.6,113.826,1.79,-4.13,NaN,NaN
254.7,113.833,1.77,-4.1,0.00126,0.00098
254.8,113.84,1.69,-4.06,NaN,NaN
254.9,113.847,1.75,-4.11,0.00127,0.00115
255,113.854,1.78,-4,NaN,NaN
255.1,113.861,1.96,-3.98,0.00124,0.00092
255.2,113.868,2.01,-3.81,NaN,NaN
255.3,113.875,2.08,-3.85,0.00117,0.00053
255.4,113.882,2.09,-3.88,NaN,NaN
255.5,113.889,2.01,-3.81,0.00118,0.00062
255.6,113.895,2.01,-3.81,NaN,NaN
255.7,113.902,2.11,-4.01,0.00116,0.00059
255.8,113.909,1.94,-3.95,NaN,NaN
