# DESCRIPTION:
# Reference: Clemens, Steven; Yamamoto, Masanobu; Thirumalai, Kaustubh; Giosan, Liviu; Richey, Julie N.; Nilsson-Kerr, Katrina; Rosenthal, Yair; Anand, Pallavi; McGrath, Sarah M. 2021. Remote and Local Drivers of Pleistocene South Asian Summer Monsoon Precipitation: A Test for Future Predictions. Science Advances, 7(23), doi: 10.1126/sciadv.abg3848.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/33213.
# Comment: Data was not modified in any way.

Age [ka BP],C. kullenbergi d18O [‰ PDB],C. kullenbergi d13C [‰ PDB]
68.789,3.1831,-0.32071
68.97,3.072,-0.2022
69.151,2.8862,-0.10183
69.332,2.8417,-0.00078
69.459,2.8417,-0.00078
69.586,2.8254,0.00507
69.968,3.0417,-0.0513
70.095,3.0417,-0.0513
70.222,3.0417,-0.0513
70.604,3.2068,-0.28061
70.731,3.233,-0.29395
70.858,3.2565,-0.34857
70.986,3.2309,-0.42629
71.113,3.2698,-0.50625
71.24,3.2495,-0.48827
71.367,3.2194,-0.49006
71.621,3.2324,-0.42057
71.749,3.2171,-0.3661
72.13,3.1548,-0.37678
72.257,3.1548,-0.37678
72.385,3.0873,-0.33381
72.639,2.969,-0.19911
72.766,2.8737,-0.10204
72.893,2.8914,-0.10968
73.021,2.8723,-0.08587
73.148,2.8274,-0.08058
73.275,2.7634,-0.07873
73.413,2.7411,-0.08195
73.551,2.6766,-0.05424
73.689,2.6484,-0.04634
73.827,2.6852,-0.02204
74.103,2.8812,-0.06249
74.241,3.019,-0.14578
74.379,3.0989,-0.1777
74.517,3.1667,-0.24061
74.655,3.1889,-0.29586
74.793,3.2092,-0.32856
74.931,3.1693,-0.31712
75.069,3.0972,-0.31422
75.207,3.1074,-0.34979
75.345,3.1257,-0.34913
75.483,3.1166,-0.3599
75.621,3.1367,-0.38106
75.759,3.1686,-0.39096
75.896,3.1474,-0.35507
76.034,3.112,-0.31509
76.31,3.0473,-0.20791
76.448,2.9882,-0.16176
76.586,2.9795,-0.17234
76.724,2.9305,-0.16893
76.862,2.9137,-0.16712
77,2.8843,-0.16493
77.138,2.8575,-0.16092
77.276,2.8536,-0.14971
77.414,2.8631,-0.15115
77.552,2.8567,-0.13908
77.69,2.8589,-0.15312
77.828,2.8607,-0.15579
77.966,2.8423,-0.16598
78.104,2.8413,-0.18958
78.242,2.8385,-0.21606
78.38,2.8414,-0.22221
78.518,2.8133,-0.24446
78.656,2.8478,-0.2694
78.794,2.8352,-0.29018
78.932,2.8547,-0.29717
79.07,2.8628,-0.31098
79.208,2.9133,-0.30494
79.346,2.8671,-0.28743
79.484,2.8687,-0.27981
79.622,2.8428,-0.28323
79.76,2.8145,-0.27984
79.898,2.7904,-0.29106
80.036,2.7949,-0.30744
80.174,2.8017,-0.30906
80.312,2.8228,-0.28875
80.45,2.8325,-0.30471
80.588,2.8145,-0.30134
80.726,2.8188,-0.29453
80.864,2.8176,-0.30146
81.139,2.7913,-0.35467
81.277,2.8055,-0.38808
81.415,2.7953,-0.38443
81.553,2.7934,-0.39338
81.691,2.7906,-0.37323
82.519,2.8017,-0.4363
82.933,2.8478,-0.43574
83.485,2.6162,-0.41944
84.098,2.6894,-0.16331
84.256,2.6894,-0.16331
84.652,2.4877,0.04543
84.826,2.4953,0.03693
85.143,2.5524,0.00409
85.301,2.5512,-0.02487
85.46,2.5512,-0.02487
86.251,2.6915,-0.0112
86.41,2.6915,-0.0112
86.568,2.7165,0.00969
86.885,2.7753,0.0134
87.107,2.8363,-0.04871
87.265,2.8008,-0.07221
87.582,2.9087,-0.27932
