# DESCRIPTION:
# Reference: Gina E. Moseley, R. Lawrence Edwards, Kathleen A. Wendt, Hai Cheng, Yuri Dublyansky, Yanbin Lu, Ronny Boch, Christoph Spötl. 2016. Reconciliation of the Devils Hole climate record with orbital forcing. Science, 351(6269), 165-168. doi: 10.1126/science.aad4132
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/19745. Accessed 22 Nov 2022.
# Comment: Years were converted to ka.
# Comment: Only Devils Hole #2 Core D Stable Isotope Data is included here.

Depth [mm],Age [ka BP],δ13C carb [‰ VPDB],δ18O carb [‰ VPDB]
83.9,114.313,-2.22,-15.84
83.8,114.369,-2.28,-15.83
83.7,114.425,-2.11,-15.62
83.6,114.481,-2.08,-15.63
83.5,114.536,-2.29,-15.74
83.4,114.592,-2.17,-15.69
83.3,114.648,-2.22,-15.66
83.2,114.704,-2.17,-15.56
83.1,114.76,-2.19,-15.73
83,114.815,-2.26,-15.63
82.9,114.871,-2.2,-15.56
82.8,114.927,-2.29,-15.71
82.7,114.983,-2.16,-15.52
82.6,115.039,-2.25,-15.71
82.5,115.094,-2.18,-15.41
82.4,115.15,-2.08,-15.47
82.3,115.206,-2.15,-15.54
82.1,115.318,-2.18,-15.57
81.9,115.429,-2.33,-15.6
81.7,115.541,-2.2,-15.45
81.5,115.653,-2.14,-15.4
81.3,115.766,-2.27,-15.46
81.1,115.878,-2.18,-15.39
80.9,115.991,-2.06,-15.33
80.7,116.104,-2.2,-15.41
Folia,0,,
61.4,120.889,-2.72,-14.72
61.3,121.019,-2.76,-14.66
61.2,121.15,-2.73,-14.75
61.1,121.281,-2.74,-14.65
61,121.412,-2.78,-14.68
60.9,121.484,-2.82,-14.71
60.8,121.557,-2.75,-14.7
60.7,121.63,-2.7,-14.75
60.6,121.703,-2.74,-14.74
60.5,121.776,-2.75,-14.86
60.4,121.848,-2.84,-14.72
60.3,121.921,-2.85,-14.65
60.2,121.994,-2.82,-14.62
60.1,122.067,-2.92,-14.82
60,122.14,-2.74,-14.71
59.9,122.213,-2.84,-14.81
59.8,122.286,-2.83,-14.72
59.7,122.359,-2.89,-14.72
59.6,122.432,-2.92,-14.79
59.5,122.505,-2.92,-14.89
59.4,122.578,-2.99,-14.82
59.3,122.651,-3,-14.77
59.2,122.724,-3.01,-14.77
59.1,122.797,-2.95,-14.89
59,122.87,-3.01,-14.87
58.9,123.163,-3.08,-14.82
58.8,123.457,-2.99,-14.75
