# DESCRIPTION:
# Reference: Voelker, AHL; de Abreu, L (2011): A Review of Abrupt Climate Change Events in the Northeastern Atlantic Ocean (Iberian Margin): Latitudinal, Longitudinal and Vertical Gradients. In: Rashid, H; Polyak, L; Mosley-Thompson, E (eds.), Abrupt Climate Change: Mechanisms, Patterns, and Impacts. Geophysical Monograph Series (AGU, Washington D.C.), 193, 15-37, https://doi.org/10.1029/2010GM001021
# Data from: https://doi.org/10.1594/PANGAEA.737413. Accessed 11 Nov 2022.
# Comment: Data was not modified in any way.

Depth [m],Age [ka BP],G. bulloides δ18O [‰ PDB],G. bulloides δ13C [‰ PDB]
14.48,105.427,1.25,-1.27
14.51,105.886,0.93,
14.54,106.346,0.95,-1.48
14.57,106.806,1.28,-1.47
14.6,107.265,1.49,-1.27
14.63,107.725,2.14,-0.68
14.66,108.352,1.82,-0.25
14.69,108.979,1.84,-0.47
14.72,109.606,1.49,-0.65
14.75,110.233,1.48,-0.79
14.78,110.86,1.14,-0.94
14.81,111.487,1.15,-0.73
14.84,112.113,1.12,-0.73
14.87,112.74,1.15,-1
14.9,113.367,1.01,-0.72
14.93,113.994,1.13,-0.84
14.96,114.621,1.34,-0.9
14.99,115.248,1.74,-0.47
15.02,116.237,0.75,-1.09
15.05,117.226,0.75,-0.79
15.08,118.215,0.85,-1
15.11,119.204,1.28,-0.87
15.14,120.193,1.72,-0.46
15.17,121.182,0.84,-0.5
15.2,122.171,0.28,-0.88
15.23,123.16,0.76,-0.64
15.26,124.148,0.88,-1.33
15.29,125.137,0.5,-1.73
15.32,126.126,0.77,-1.72
15.35,127.115,0.43,-1.43
15.38,128.104,0.42,-1.63
15.41,129.093,0.43,-1.81
15.44,130.082,1.41,-1.19
15.47,131.071,1.41,-1.19
15.5,131.613,2.41,-0.95
15.53,132.156,2.73,-0.97
15.56,132.698,2.53,-0.97
15.59,133.24,3.01,-0.93
15.62,133.782,3.23,-0.87
15.65,134.325,3.03,-1.07
15.68,134.867,3.43,-0.82
