/* DESCRIPTION:
Reference:	Dokken, T; Jansen, E (1999): Rapid changes in the mechanism of ocean convection during the last glacial period. Nature, 401(6752), 458-461, https://doi.org/10.1038/46753
Data from:	https://doi.org/10.1594/PANGAEA.61471. Accessed 27 Oct 2022.
Comment:	Data was not modified in any way.
*/
Depth [m]	Age [ka BP]	MAGS [10**-6 SI]	N. pachyderma s δ18O [‰ PDB]	N. pachyderma s δ13C [‰ PDB]	C. teretis δ18O [‰ PDB]	C. teretis δ13C [‰ PDB]	Foram/sed [#/g]	Rock fragm [#/g]	IRD [#/g]
2.955	19.75	313.26	4.68	0.13	5.41	-0.32	198	3.54	418.18
2.965	19.77	324.61						3.24	
2.975	19.79	335.96						2.93	
2.985	19.82	345.04					143	3.65	368.02
2.995	19.84	345.04							
3.005	19.86		4.5	0.18	5.18	-0.54	259	5.18	482.97
3.015	19.88							8.52	
3.025	19.91	429.03						3.35	
3.035	19.93	465.35						3.36	
3.045	19.95	481.24						2.54	
3.055	19.97	483.51	4.72	0.11	5.63	-0.42		2.71	
3.065	19.99	481.24					286	3.47	433.19
3.075	20.02	454							
3.085	20.04	467.62							
3.095	20.06	458.54							
3.105	20.08	456.27	4.27	0.12	5.19	-0.46	231	4.03	878.44
3.115	20.11	460.81							
3.125	20.13	469.89					509	5.66	771.38
3.135	20.15	483.51							
3.145	20.17	497.13							
3.155	20.2	499.4	4.53	0.11	5.08	-0.63		6.31	
3.165	20.22	483.51							
3.175	20.24	454					325	3.6	732.61
3.185	20.26	426.76							
3.195	20.29	415.41							
3.205	20.31	408.6	4.52	-0.02	5.2	-0.52	194	6.15	1442.87
3.215	20.33	399.52							
3.225	20.35	388.17							
3.235	20.37	383.63							
3.245	20.4	379.09							
3.255	20.42	383.63	4.83	0.08	5.45	-0.4		12.14	
3.265	20.44	397.25							
3.275	20.46	417.68							
3.285	20.49	447.19							
3.295	20.51	476.7							
3.305	20.53	497.13	4.67	-0.11	5.41	-0.52	114	11.45	2575.37
3.315	20.55	492.59							
3.325	20.58	485.78						4.39	
3.335	20.6	469.89					174	4.48	1954.82
3.345	20.62	449.46						7.26	
3.355	20.64	429.03	4.65	0.1	5.47	-0.56		9.82	
3.365	20.67	426.76						11.9	
3.375	20.69	433.57					161	10.38	3154.46
3.385	20.71	410.87							
3.395	20.73	376.82							
3.405	20.75	370.01	4.63	0.06	5.48	-0.46	193	10.96	2764.95
3.415	20.78	381.36							
3.425	20.8	401.79							
3.435	20.82	419.95					190	11.91	2254.76
3.445	20.84	444.92							
3.455	20.87	467.62	4.73	0	5.23	-0.69		9.93	
3.465	20.89	483.51							
3.475	20.91	492.59					199	3.58	307.61
3.485	20.93	499.4							
3.495	20.96	506.21						3.29	
3.505	20.98	501.67	4.65	0.15	5.38	-0.68	202	3.22	1462.73
3.515	21	492.59						3.11	
3.525	21.02	472.16					357	2.54	1298.28
3.535	21.05	444.92						2.86	
3.545	21.07	408.6			5.36	-0.78	342	4.57	1509.89
3.555	21.09	374.55						5.64	
3.565	21.11	345.04					290	9.43	1995.04
3.575	21.13	329.15						10.46	
3.585	21.16	315.53	4.56	0.09	5.29	-0.66			
3.595	21.18	306.45						9.32	
3.605	21.2	301.91	4.46	-0.04	5.31	-0.55	180	8.14	2309.81
3.615	21.22	301.91						8.7	
3.625	21.25	306.45	4.64	0.15	5.44	-0.64	306	15.37	3378.92
3.635	21.27	313.26						13.31	
3.645	21.29	317.8						10.22	
3.655	21.31	329.15						12.64	
3.665	21.34	335.96	4.77	-0.03	5.43	-0.66	319	12.72	2619.12
3.675	21.36	342.77						5.5	
3.685	21.38	345.04	4.76	0.24	5.51	-0.82	270	6.09	1070.05
3.695	21.4	347.31						6.24	
3.705	21.42	349.58	4.76	0.06	5.39	-0.69	40	7.07	213.64
3.715	21.45	342.77						5.66	
3.725	21.47	340.5					183	3.75	705.67
3.735	21.49	333.69						3.46	
3.745	21.51	329.15	4.71	-0.01	5.5	-0.68			
3.755	21.54	331.42						4.84	
3.765	21.56	342.77					131	7.18	971.57
3.775	21.58	360.93						8.1	
3.785	21.6	370.01	4.68	0.07	5.44	-0.55			
3.795	21.63	379.09							
3.805	21.65	385.9	4.52	-0.02	5.44	-0.64	229	7.88	909.08
3.815	21.67	392.71							
3.825	21.69	406.33	4.81	0.11	5.39	-0.8		11.28	
3.835	21.72	429.03					284	11.69	1614.83
3.845	21.74	442.65						17.84	
3.855	21.76	442.65					291	18.47	3141.3
3.865	21.78	438.11	4.64	0.04	5.36	-0.6		14.25	
3.875	21.8	438.11						12.52	
3.885	21.83	429.03					303	13.28	2082.96
3.895	21.85	410.87						7.86	
3.905	21.87	388.17	4.52	0.13	5.24	-0.65	344	7.7	807.65
3.915	21.89	365.47						5.71	
3.925	21.92	345.04							
3.935	21.94	331.42					350	4.95	562.77
3.945	21.96	329.15	4.7	0.1	5.42	-0.6		3.34	
3.955	21.98	335.96							
3.965	22.01	342.77					521	3.07	338.82
3.975	22.03	347.31							
3.985	22.05	354.12	4.74	0.04	5.32	-0.58		3.78	
3.995	22.07	360.93							
4.005	22.1	363.2	4.69	0.14	5.23	-0.59	446	4.1	323.37
4.015	22.12	365.47							
4.025	22.14	370.01	4.68	0.02	5.47	-0.5		3.2	
4.035	22.16	379.09							
4.045	22.18	388.17					436	6.19	728.84
4.055	22.21	392.71							
4.065	22.23	390.44	4.79	0.07	5.35	-0.57		5.32	
4.075	22.25	388.17							
4.085	22.27	388.17						4.18	
4.095	22.3	390.44							
4.105	22.32	388.17	4.76	0.2	5.38	-0.57	437	3.68	667
4.115	22.34	388.17							
4.125	22.36	388.17						4.56	
4.135	22.39	385.9					550	8.43	1022.26
4.145	22.41	390.44	4.6	0.1				7.33	
4.155	22.43	392.71							
4.165	22.45	397.25					669	7.93	1223.02
4.175	22.48	410.87							
4.185	22.5	426.76	4.75	0.2	5.55	-0.48		8.11	
4.195	22.52	438.11							
4.205	22.54	444.92					178	8.33	838.99
4.215	22.56	447.19						5.69	
4.225	22.59	449.46	4.66	0.22	5.55	-0.34		3.72	
4.235	22.61	454						4.9	
4.245	22.63	456.27						7.97	
4.255	22.65	463.08							
4.265	22.68	467.62	4.97	0.25	5.62	-0.22		7	
4.275	22.7	469.89					109	10.44	1127.23
