# DESCRIPTION:
# Reference: Gkinis, Vasileios; Vinther, Bo Møllesøe; Popp, Trevor J; et al. (2021): A 120,000-year long climate record from a NW-Greenland deep ice core at ultra-high resolution. Scientific Data, 8, 141, https://doi.org/10.1038/s41597-021-00916-9.
# Data from: https://doi.org/10.1594/PANGAEA.925552. Accessed 07 Jan 2023.
# Comment: Several variables from the original dataset are not included here.
# Comment: Ages for 60.20567 ka b2k and earlier have been added using the age model from Rasmussen et al., 2013: https://doi.org/10.5194/cp-9-2713-2013, data accessed from https://www.iceandclimate.nbi.ku.dk/data/.

Depth ice/snow [m],Age [ka b2k] (GICC05),δ18O H2O [‰ SMOW],δD H2O [‰ SMOW]
1233.15,8.2816,-33.194,-254.93
1233.2,8.28223,-33.198,-254.41
1233.25,8.28286,-33.204,-255.88
1233.3,8.28355,-33.341,-255.54
1233.35,8.2842,-35.844,-275.91
1233.4,8.28478,-36.787,-284.85
1233.45,8.28548,-35.644,-275.76
1233.5,8.28631,-33.276,-256.42
1233.55,8.28712,-32.938,-254.31
1233.6,8.28765,-35.33,-275.62
1233.65,8.28817,-36.147,-281.5
1233.7,8.2887,-34.976,-271.11
1233.75,8.28925,-32.675,-252.17
1233.8,8.28982,-33.088,-255.41
1233.85,8.29054,-34.366,-266.78
1233.9,8.2912,-34.082,-264.52
1233.95,8.29169,-33.503,-260.39
1234,8.29219,-33.628,-260.72
1234.05,8.29271,-33.248,-256.33
1234.1,8.29348,-33.107,-254.53
1234.15,8.29426,-32.45,-249.37
1234.2,8.29479,-32.803,-252.18
1234.25,8.29527,-35.056,-271.65
1234.3,8.29572,-37.048,-287.53
1234.35,8.29615,-35.851,-276.99
1234.4,8.29654,-34.217,-263.4
1234.45,8.29694,-34.021,-262.4
1234.5,8.29753,-34.785,-269.12
1234.55,8.2981,-34.59,-267.58
1234.6,8.29847,-33.625,-259.31
1234.65,8.29884,-33.666,-259.82
1234.7,8.2992,-34.24,-265.56
1234.75,8.29955,-33.852,-261.28
1234.8,8.2999,-33.863,-260.73
1234.85,8.30045,-34.721,-269.47
1234.9,8.30106,-34.598,-268.49
1234.95,8.30155,-34.143,-263.92
1235,8.30205,-33.91,-263.06
1235.05,8.30284,-31.746,-244.44
1235.1,8.30339,-30.757,-236.84
1235.15,8.30388,-31.917,-246.72
1235.2,8.30459,-32.799,-252.07
1235.25,8.3052,-33.787,-260.24
1235.3,8.30562,-33.365,-256.75
