# DESCRIPTION:
# Reference: Hodell, D.A., H.F. Evans, J.E.T. Channell, and J.H. Curtis. 2010. Phase relationships of North Atlantic ice-rafted debris and surface-deep climate proxies during the last glacial period. Quaternary Science Reviews, Vol. 29, pp. 3875-3886, https://doi.org/10.1016/j.quascirev.2010.09.006
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/11821. Accessed 29 Oct 2022.
# Comment: Data was not modified in any way.

Depth (cm),Age (kyrs SFCP04),log(K/Ti),3pt smooth log(K/Ti),Zr/Sr,3 pt smooth (Zr/Sr)
473.2,4.8239,0.00643,0.04478,0.15174,0.14831
473.45,4.8359,0.05558,0.05115,0.14561,0.14615
473.7,4.8479,0.07598,0.04532,0.15964,0.14755
473.95,4.8599,0.07816,0.05509,0.14077,0.15078
474.2,4.8718,0.01045,0.04633,0.13999,0.15268
474.45,4.8838,0.05527,0.05194,0.16789,0.15273
474.7,4.8958,0.01178,0.05851,0.15509,0.15662
474.95,4.9078,0.10404,0.0736,0.15992,0.16063
475.2,4.9197,0.11102,0.07453,0.1602,0.15877
475.45,4.9317,0.08588,0.09021,0.16004,0.16288
475.7,4.9437,0.05995,0.08942,0.15861,0.16078
475.95,4.9557,0.09015,0.09108,0.17565,0.16558
476.2,4.9676,0.10008,0.09891,0.14942,0.16692
476.45,4.9796,0.11934,0.11441,0.18417,0.16825
476.7,4.9916,0.12504,0.12272,0.16677,0.1642
476.95,5.0036,0.13744,0.12693,0.16521,0.16706
477.2,5.0155,0.13169,0.12519,0.15541,0.16222
477.45,5.0275,0.12115,0.12503,0.16372,0.15733
477.7,5.0395,0.11063,0.11979,0.16001,0.15746
477.95,5.0514,0.12423,0.11648,0.14229,0.16046
478.2,5.0634,0.11125,0.11519,0.16589,0.16083
478.45,5.0754,0.11515,0.1151,0.17041,0.15723
478.7,5.0874,0.11471,0.11491,0.16554,0.15861
478.95,5.0993,0.11019,0.1193,0.14205,0.15872
479.2,5.1113,0.12327,0.11897,0.14915,0.15762
479.45,5.1233,0.13319,0.1167,0.16643,0.15665
