# DESCRIPTION:
# Reference: T.C. Johnson, J.P. Werne, E.T. Brown, A. Abbott, M. Berke, B.A. Steinman, J. Halbur, S. Contreras, S. Grosshuesch, A. Deino, C.A. Scholz, R.P. Lyons, S. Schouten, and J.S. Sinninghe Damste. 2016. A progressively wetter climate in southern East Africa over the past 1.3 million years. Nature, 537(7619), 220-224. doi: 10.1038/nature19065.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/21890. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Several variables from the original dataset are not included here.

Age [ka BP],T [deg C],lake level change [m],13C (leaf wax) [per mil]
991.65097,21.17,NaN,NaN
992.61324,22.06,NaN,NaN
992.61946,NaN,-500,NaN
993.59789,20.56,NaN,NaN
993.60162,NaN,-475,NaN
994.48432,NaN,-500,-23.3
994.48805,22.06,NaN,NaN
995.37946,NaN,-246,NaN
995.38195,23.58,NaN,NaN
996.35789,22.18,NaN,NaN
996.36162,NaN,-389,NaN
997.23935,22.58,NaN,NaN
997.24432,NaN,-322,-23.77
998.18919,NaN,-108,NaN
998.19292,20.57,NaN,NaN
999.15643,22.65,NaN,NaN
999.15892,NaN,-127,NaN
999.95459,26.35,-60,-25.64
1000.3027,NaN,-196,NaN
1000.30519,19.49,NaN,NaN
1001.21027,NaN,-389,-25.43
1002.06562,16.97,NaN,NaN
1002.06811,NaN,-433,NaN
1003.2467,18.73,NaN,NaN
1003.24919,NaN,-689,-26.01
1004.23135,NaN,-684,NaN
1004.23508,20.95,NaN,NaN
1005.20108,NaN,-537,NaN
1006.15838,NaN,-478,-25.4
1007.15297,NaN,-426,NaN
1008.07297,NaN,-218,-24.56
1008.81892,NaN,-292,NaN
1009.70162,NaN,-379,NaN
1011.64432,NaN,-431,-22.23
1014.4918,NaN,-513,NaN
1017.25907,NaN,-444,NaN
1021.1894,NaN,-503,-23.29
1024.9192,NaN,-191,NaN
1028.80942,NaN,-327,-22.81
1032.33869,21.39,-520,NaN
1036.38532,22.99,NaN,NaN
1036.38933,NaN,-162,NaN
1039.63787,NaN,-70,NaN
1039.65391,23.54,NaN,NaN
1042.72598,NaN,-151,NaN
1045.55742,21.06,NaN,NaN
1045.57346,NaN,-392,-25.06
1048.34074,19.14,-437,NaN
1051.49302,20.68,NaN,NaN
1051.50906,NaN,-273,-24.24
1054.27633,21.38,-340,NaN
1057.40054,21.23,NaN,NaN
1057.40455,NaN,-364,NaN
1060.45256,NaN,-320,-26.38
1060.45657,20.95,NaN,NaN
1063.44843,22.04,NaN,NaN
1063.46046,NaN,-229,NaN
1066.89749,23.4,NaN,NaN
1066.90952,NaN,-94,-23.9
1071.44326,23.77,NaN,NaN
1071.46207,NaN,-216,-24.57
1081.80931,NaN,-190,-25.22
1081.82185,25.02,NaN,NaN
1085.69736,NaN,-15,NaN
1085.7099,24.42,NaN,NaN
1089.82998,20.61,NaN,NaN
1089.83625,NaN,-192,NaN
1093.7243,NaN,-308,-24.07
1093.73684,22.67,NaN,NaN
1099.05469,21.67,-382,-22.8
1104.4478,NaN,-399,NaN
1104.46661,21.02,NaN,NaN
1110.09174,NaN,-336,-24.91
1110.09801,23.05,NaN,NaN
1116.04924,NaN,-83,NaN
1116.05551,22.36,NaN,NaN
1119.22866,19.32,NaN,NaN
1119.24747,NaN,-225,NaN
1123.27642,NaN,-221,-27.07
1127.37401,20.18,NaN,NaN
1127.38231,NaN,-356,NaN
1131.13982,23.16,NaN,NaN
1131.15641,NaN,-317,-25.04
1134.91807,23.96,NaN,NaN
1134.93051,NaN,0,NaN
1138.45577,NaN,-240,-25.37
1138.45992,21.42,NaN,NaN
1141.98103,NaN,-349,NaN
1146.02886,22.38,NaN,NaN
1146.04545,NaN,-264,-23.83
1149.05643,24.81,NaN,NaN
1149.07302,NaN,-41,NaN
1151.81028,NaN,-94,NaN
1151.81858,24.5,NaN,NaN
1154.8586,24.27,NaN,NaN
1154.87933,NaN,-315,-25.28
1159.1055,21.7,NaN,NaN
1159.10965,NaN,-285,NaN
1161.83861,21.79,NaN,NaN
1161.84691,NaN,-270,NaN
1165.42112,23.86,NaN,NaN
1165.42384,NaN,-200,-25.91
1166.52323,24.51,NaN,NaN
1166.52732,NaN,0,NaN
1167.88554,24.51,NaN,NaN
1167.88963,NaN,0,-25.25
1175.12352,NaN,-406,-24.73
1175.12761,23.18,NaN,NaN
1177.47488,20.08,NaN,NaN
1177.48033,NaN,-190,NaN
1178.62467,NaN,-412,NaN
1178.62603,18.75,NaN,NaN
1179.75267,19.07,NaN,NaN
1179.75539,NaN,-541,NaN
1180.93516,19.77,NaN,NaN
1180.94061,NaN,-516,-22.96
1182.25524,19.63,NaN,NaN
1182.26205,NaN,-447,NaN
1183.5004,24.25,NaN,NaN
1183.50176,NaN,-319,-24.14
1184.79323,22.6,NaN,NaN
1184.79596,NaN,-502,NaN
1185.95393,NaN,-243,-25.98
1185.95665,21.41,NaN,NaN
1187.20589,21.7,NaN,NaN
1187.20726,NaN,-286,NaN
1188.39247,NaN,-600,NaN
1188.39383,19.26,NaN,NaN
1189.44826,19.69,NaN,NaN
1189.45507,NaN,-529,-25.15
1192.16,NaN,-575,NaN
1197.26,NaN,-571,-21.62
1201.88,NaN,-405,NaN
1206.182,23.26,NaN,NaN
1206.2,NaN,-484,NaN
1210.58,NaN,NaN,-24.74
1220.38528,NaN,NaN,-24.3
1223.52256,NaN,-402,NaN
1224.82517,22.63,-496,-24.31
1226.2929,NaN,-554,NaN
1227.92575,NaN,-500,-22.51
1227.93309,19.86,NaN,NaN
1229.46687,NaN,-426,NaN
1229.4687,18.66,NaN,NaN
1231.09972,NaN,-460,NaN
1231.10155,23.4,NaN,NaN
1232.43902,NaN,0,-24.74
1232.44636,22.86,NaN,NaN
1234.02784,25.83,NaN,NaN
1234.03518,NaN,-421,NaN
