# DESCRIPTION:
# Reference: WAIS Divide Project Members (2015): Precise interpolar phasing of abrupt climate change during the last ice age. Nature, 520, 661–665, hhttps://doi.org/10.1038/nature14401.
# Data from: https://www.nature.com/articles/nature14401#Sec14. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Several variables from the original dataset are not included here.
# Comment: This file combines "WDC CH4 OSU" (11.306 to 26.363 ka BP) and "WDC CH4 PSU" (26.484 to 67.145 ka BP) datasets from the original data. 

Depth (average) [m],WD2014 Gas age [ka BP],CH4 (replicate ave.) [ppb]
2907.19,33.6045,482.56
2908.19,33.6502,494.49
2909.18,33.6959,492.84
2910.18,33.7418,504.05
2911.18,33.7884,506.61
2912.18,33.8349,507.32
2913.18,33.8817,448.24
2914.18,33.9284,424.04
2915.18,33.9751,418.03
2916.18,34.021,421.95
2917.17,34.0654,426.18
2918.17,34.1078,415.53
2919.17,34.1484,414.84
2920.17,34.1883,421.28
2921.17,34.2275,427.6
2922.17,34.2666,421.24
2923.23,34.3076,418.82
2924.16,34.3425,410.97
2925.16,34.3793,423.04
2926.16,34.4163,419.68
2927.16,34.453,415.49
2928.16,34.4905,420.02
2929.16,34.5277,438.4
2930.16,34.5648,447.16
2931.16,34.602,416.86
2932.15,34.6393,438.86
2933.15,34.6764,458.06
2934.15,34.7142,443.45
2935.15,34.7521,442.92
2936.15,34.79,429.63
2937.15,34.8278,480.96
2938.15,34.8647,487.87
2939.15,34.9011,495.67
2940.15,34.9376,529.57
2941.14,34.9741,551.7
2942.14,35.0109,539.34
2943.14,35.0483,503.94
2944.14,35.0865,513.6
2945.14,35.1249,516.48
2946.14,35.1641,512.99
2947.14,35.2042,511.18
2948.14,35.245,519.44
2949.14,35.2855,530.71
2950.14,35.3246,537.62
2951.13,35.362,534.37
2952.13,35.3988,523.71
2953.13,35.4355,527
2954.13,35.4721,540.81
2955.13,35.5082,536.33
2956.13,35.5439,544.36
2957.13,35.5796,562.56
2958.13,35.6161,520.23
2959.13,35.654,461.59
2960.12,35.6929,439.02
2961.12,35.7322,418.03
2962.12,35.7707,410.76
2963.14,35.8097,408.17
2964.12,35.8476,417.47
2965.12,35.8864,413.85
2966.12,35.9263,417.74
2967.12,35.9666,416.69
2968.12,36.0067,437.04
2969.12,36.0459,427.54
2970.11,36.0837,425.6
2971.18,36.1231,414.53
2972.11,36.1571,413.25
2973.11,36.1939,424.08
2974.11,36.231,429.28
2975.41,36.28,429.13
2976.11,36.3067,420.41
2977.41,36.3587,427.46
2978.11,36.388,433.61
2979.11,36.4314,440.56
2980.11,36.4759,445.99
2981.11,36.5209,441.52
2982.1,36.5654,439.88
2983.12,36.6111,448.35
2984.1,36.6547,462.47
2985.1,36.6993,460.66
2986.14,36.746,468.06
2987.1,36.7896,488.57
2988.1,36.8351,515.79
2989.08,36.8812,509
2990.1,36.9294,519.66
2991.1,36.9765,512.68
2992.18,37.0281,507.77
2993.09,37.0714,488.88
2994.09,37.1189,511.17
2995.17,37.1702,536.95
2996.09,37.2136,547.07
2997.09,37.2605,556.6
2998.31,37.319,562.19
2998.59,37.3325,570.01
2999.09,37.3565,570.8
2999.59,37.3806,571.88
3000.09,37.405,577.91
3000.57,37.4285,584.81
3001.08,37.4533,575.3
3001.58,37.4773,564.93
3002.08,37.5009,571.7
3002.58,37.5246,563.02
3003.1,37.5492,554.77
3003.58,37.5715,581.61
3004.08,37.5948,563.59
3004.58,37.6179,567.63
3005.08,37.6411,578.64
3005.58,37.6645,554.45
3006.61,37.713,551.15
3007.08,37.7355,551.86
3007.58,37.7598,549.98
3008.08,37.784,563.43
3008.58,37.8083,552.05
3009.08,37.8326,567.28
3009.66,37.8615,554.77
3010.08,37.8823,551.47
3010.58,37.9072,551.3
3011.08,37.932,549.94
3011.58,37.9567,561.38
3012.07,37.9812,558.07
3012.57,38.0054,557.47
3013.07,38.0288,551.09
