/* DESCRIPTION:
Reference:	Elderfield, H et al. (2012): Evolution of ocean temperature and ice volume through the Mid-Pleistocene Climate Transition. Science, 337(6095), 704-709, https://doi.org/10.1126/science.1221294
Data from:	https://doi.org/10.1594/PANGAEA.786178. Accessed 22 Nov 2022.
Comment:	Several variables from the original dataset are not included here.
*/
Age [ka BP]	Uvigerina spp. δ18O [‰ PDB]	Uvigerina spp. δ13C [‰ PDB]	Mg/Ca [mmol/mol]
548.6	4.55	-1.22	0.939
549.7	4.74	-1.02	0.991
550.8	4.59	-1.19	0.985
551.3	4.53	-0.9	0.924
551.9	4.54	-1.05	1.018
553	4.59	-1.1	0.969
554	4.61	-1.06	1.062
555.1	4.58	-1.09	0.962
556.2	4.43	-1.04	1.01
556.7	4.5	-0.9	0.974
557.3	4.36	-0.98	0.97
558.4	4.38	-0.85	0.949
558.9	4.44	-0.64	0.948
559.4	4.43	-0.91	0.937
560.5	4.25	-0.86	0.98
561.6	4.25	-0.9	1.005
562.7	4.25	-0.82	1.065
563.2	4.35	-0.72	0.982
567.5	3.93	-0.71	0.997
568.6	4.04	-0.79	1.02
569.7	4.05	-0.65	1.013
570.8	3.96	-0.68	1.066
571.9	3.86	-0.55	1.016
572.9	3.84	-0.6	0.919
573.2	3.71	-0.21	
574	3.69	-0.46	1.077
575.1	3.83	-0.52	1.032
575.6	3.69	-0.4	
576.2	3.61	-0.6	1.13
577.3	3.58	-0.46	1.078
578.3	3.68	-0.58	1.047
579.4	4	-0.87	1.033
580.5	4	-0.7	1.155
581.3	3.9	-0.53	1.06
581.6	3.96	-0.81	1.155
582.7	4.39	-0.89	1.052
583.7	4.38	-0.89	0.966
584	4.44	-0.74	1.073
584.7	4.34	-0.98	1.18
585.7	4.4	-0.9	1.044
586.4	4.34	-0.82	0.999
586.6	4.31	-0.99	0.983
587.6	4.47	-0.92	0.957
588.5	4.47	-0.88	1.01
588.8	4.28	-0.8	0.967
