# DESCRIPTION:
# Reference: Gayatri Kathayat, Hai Cheng, Ashish Sinha, Christoph Spötl, R. Lawrence Edwards, Haiwei Zhang, Xianglei Li, Liang Yi, Youfeng Ning, Yanjun Cai, Weiguo Lui Lui, Sebastian F.M. Breitenbach. 2016. Indian monsoon variability on millennial-orbital timescales. Scientific Reports, 6, 24374. doi: 10.1038/srep24374.
# Data from: hhttps://www.ncei.noaa.gov/access/paleo-search/study/20449. Accessed 07 Jan 2023.
# Comment: Data was not modified in any way.

Age [ka BP],d18O [per mil VPDB],d13C [per mil VPDB]
19.853,-4.131,-6.036
20.126,-4.003,-7.095
20.399,-4.537,-7.348
20.672,-4.054,-7.219
20.945,-4.558,-8.266
21.218,-4.227,-6.557
21.458,-4.176,-6.741
21.701,-4.028,-6.481
21.943,-3.923,-6.092
22.186,-4.228,-6.338
22.428,-4.147,-6.217
22.671,-3.48,-6.253
22.913,-3.751,-6.541
23.156,-4.389,-6.121
23.398,-3.804,-5.97
23.641,-4.261,-6.082
23.883,-4.396,-6.157
24.126,-4.175,-6.054
24.368,-4.62,-7.076
24.611,-4.636,-7.266
24.786,-4.06,-6.993
24.956,-5.416,-8.353
24.957,-4.82,-7.32
24.968,-4.66,-7.59
24.98,-4.63,-7.57
24.991,-4.49,-7.48
25.003,-4.58,-7.38
25.014,-4.79,-7.63
25.025,-4.84,-7.64
25.037,-4.5,-7.45
25.048,-4.6,-7.44
25.06,-4.5,-7.14
25.071,-4.61,-7.54
25.083,-4.29,-7.21
25.094,-4.52,-7.44
25.105,-4.41,-7.19
25.117,-4.51,-6.94
25.128,-4.59,-6.6
25.14,-4.26,-6.99
25.151,-4.29,-7.17
25.162,-4.38,-7.21
25.174,-4.76,-7.25
25.185,-4.84,-7.35
25.197,-5.11,-7.28
25.208,-5.08,-7.45
25.219,-4.8,-7.41
25.231,-4.95,-7.41
25.242,-4.73,-7.29
25.254,-5.05,-7.36
25.265,-5.44,-7.38
25.276,-5.39,-7.24
25.288,-5.26,-7.06
25.299,-5.33,-7.2
25.311,-5.59,-7.32
25.322,-5.83,-7.48
25.334,-4.82,-7.51
25.345,-4.63,-7.49
25.356,-4.64,-7.11
25.368,-4.65,-7.38
25.379,-4.78,-7.46
25.391,-5.11,-7.56
25.402,-4.91,-7.38
25.441,-4.87,-7.11
25.479,-4.82,-6.99
25.517,-4.84,-7.17
25.555,-4.96,-7.45
25.593,-4.99,-7.26
25.632,-4.98,-7.48
25.67,-5.01,-7.43
25.708,-4.88,-7.43
25.746,-4.78,-7.03
25.784,-4.77,-7.45
25.823,-4.66,-7.21
25.861,-4.73,-6.85
25.899,-4.74,-7.16
25.937,-4.37,-6.64
25.975,-4.54,-6.81
26.013,-4.45,-6.65
26.052,-4.49,-6.85
26.09,-4.12,-7.27
26.128,-4.33,-7.15
26.166,-4.47,-7.31
26.177,-5.12,-7.1
26.188,-4.78,-7.28
26.198,-4.51,-7.29
26.209,-4.62,-7.11
26.22,-5.32,-7.61
26.23,-5.09,-7.33
26.241,-5.05,-7.3
26.252,-4.88,-7.61
26.262,-5.01,-7.47
26.273,-4.39,-7.67
26.283,-4.6,-7.67
26.294,-4.21,-7.65
26.305,-4.63,-7.68
26.315,-4.99,-8.04
26.326,-4.93,-8.15
26.337,-4.99,-7.96
26.347,-4.57,-7.97
26.358,-4.95,-8.11
26.369,-5.62,-7.99
26.394,-5.57,-8.07
26.42,-5.38,-7.89
26.445,-4.85,-8.09
26.471,-4.48,-8.16
26.496,-4.23,-7.89
26.522,-4.93,-8.2
26.547,-4.93,-8.12
26.573,-5.64,-8.58
26.598,-5.62,-8.56
26.624,-5.11,-8.55
26.649,-5.08,-8.5
26.675,-4.71,-8.51
26.7,-4.84,-8.54
26.726,-5.26,-8.68
26.751,-5.38,-8.28
26.777,-5.52,-8.4
26.802,-5.24,-8.51
26.828,-5,-8.43
26.853,-5.07,-8.61
26.879,-5.99,-8.62
26.904,-6.06,-8.82
26.93,-5.53,-8.74
26.955,-5.56,-8.77
26.981,-5.48,-8.72
27.006,-5.45,-8.65
27.032,-5.08,-8.73
27.057,-4.88,-8.46
27.058,-4.94,-8.69
27.059,-5.28,-8.66
27.06,-5.44,-8.57
27.061,-5.48,-8.57
27.063,-5.41,-9.07
27.064,-5.42,-9.13
27.065,-4.97,-8.94
27.066,-5.01,-8.94
27.067,-5.32,-9.23
27.068,-5.24,-9.02
27.069,-5.44,-8.75
27.07,-5.46,-8.67
27.071,-5.63,-8.94
27.072,-5.63,-8.94
27.073,-5.99,-8.97
27.075,-6.1,-9.22
27.076,-6.13,-9.09
27.077,-6.03,-8.92
27.078,-6.07,-8.5
27.079,-6.1,-9.26
27.08,-5.91,-8.93
27.081,-6,-9
27.082,-6.17,-9.13
