# DESCRIPTION:
# Reference: Barker, Stephen (2021): Planktic foraminiferal and Ice Rafted Debris (IRD) counts from ODP Site 983. PANGAEA, https://doi.org/10.1594/PANGAEA.929721
# Data from: https://doi.org/10.1594/PANGAEA.929721. Accessed 29 Oct 2022.
# Comment: Data was not modified in any way.

Depth [m] (MCD_TOP),Age [ka BP] (U1385 age),N. pachyderma s [%],IRD [#/g]
11.29,101.28486,65.03067,13.95958
11.31,101.42594,65.2027,13.97583
11.33,101.56702,70.31963,13.15789
11.35,101.70811,69.45946,58.19945
11.37,101.84919,65.13514,13.55932
11.39,101.99027,66.29213,24.13637
11.41,102.13135,64.20048,16.80231
11.43,102.27243,68.23204,6.8618
11.45,102.41351,64.61039,52.69224
11.47,102.55459,61.30137,10.31426
11.49,102.69567,53.48837,0
11.51,102.83676,53.35689,17.02128
11.53,102.97784,52.26131,7.8876
11.55,103.11892,52.68817,18.50246
11.57,103.26,66.10738,121.21212
11.59,103.46519,81.75676,250.57096
11.61,103.67037,85.22727,175.34247
11.63,103.87556,84.75336,130.53233
11.65,104.08074,77.53086,122.1141
11.67,104.28593,66.93767,0
11.69,104.49111,50,13.83485
11.71,104.6963,53.30396,6.23417
11.73,104.90148,55.71688,7.7758
11.75,105.10667,74.58867,13.24869
11.77,105.31185,62.38806,0
11.79,105.51704,38.27893,7.21696
11.81,105.72222,32.24756,0
11.83,105.92741,33.01587,12.87726
11.85,106.13259,53.27103,52.92537
11.87,106.33778,39.52096,37.47073
11.89,106.54296,43.3213,13.19316
11.91,106.74815,36.79525,11.4082
11.93,106.95333,9.90991,12.23943
11.95,107.15852,13.39492,0
11.97,107.3637,9.14454,18.04851
11.99,107.56889,10.27778,0
12.01,107.77407,6.06061,6.74963
12.03,107.97926,6.86275,0
12.05,108.18444,11.14551,24.87369
12.07,108.38963,14.13793,6.01165
12.09,108.59481,21.32353,6.65834
12.11,108.8,53.7415,92.75362
12.13,109.06667,86.26692,508.69349
12.15,109.33333,83.56941,457.37621
12.17,109.6,85.64356,118.98122
12.19,109.86667,81.36646,31.95739
12.21,110.13333,76.99115,24.8014
12.23,110.4,65.23438,0
12.25,110.66667,37.73148,0
12.27,110.93333,26.53061,5.81184
12.29,111.2,27.04715,42.26096
12.31,111.46667,10.69959,0
12.32,111.6,10.41162,10.61536
12.34,111.86667,12.0614,0
12.36,112.13333,15.93928,0
12.38,112.4,13.95793,0
12.4,112.66667,17.43421,11.67457
12.42,112.93333,16.2069,0
12.44,113.2,22.88136,0
12.46,113.46667,31.90476,18.69523
12.48,113.73333,45.04505,0
12.5,114,33.26613,15.99001
12.52,114.0874,40.98765,0
12.54,114.1748,70.91413,0
12.56,114.26219,74.55621,0
12.58,114.34959,75.55066,0
12.6,114.43699,85.97194,18.47575
12.62,114.52439,78.34758,0
12.64,114.61179,79.87805,0
12.66,114.69919,65.53191,10.13781
12.68,114.78658,58.01105,6.07211
12.7,114.87398,58.59564,5.41638
12.72,114.96138,58.26271,0
12.74,115.04878,46.01113,0
12.76,115.13618,42.44604,0
12.78,115.22357,36.73469,0
12.8,115.31097,25.84906,0
12.82,115.39837,17.07317,0
12.84,115.48577,16.70282,0
12.86,115.57317,18.67816,0
12.88,115.66056,17.04545,0
12.9,115.74796,9.79381,0
12.92,115.83536,8.63158,9.27671
12.94,115.92276,6.34921,0
12.96,116.01016,10.47228,0
12.98,116.09755,5.94796,0
13,116.18495,4.98339,0
13.02,116.27235,10.23891,0
13.04,116.35975,12.71478,0
13.06,116.44715,7.8125,0
13.08,116.53455,2.4,5.40267
13.09,116.57824,4.5614,0
13.11,116.66564,4.23453,0
13.13,116.75304,3.9801,0
13.15,116.84044,4.95575,0
13.17,116.92784,6.07029,0
13.19,117.01524,7.40741,0
13.21,117.10263,5.08475,6.51598
13.23,117.19003,7.40741,0
13.25,117.27743,4.33437,0
13.27,117.36483,6.23053,0
13.29,117.45223,7.2,0
13.31,117.53962,1.46699,0
13.33,117.62702,6.8306,7.03297
13.35,117.71442,4.91803,7.994
13.37,117.80182,0.56818,0
13.39,117.88922,1.34228,7.27934
13.41,117.97661,3.52645,6.79983
13.43,118.06401,1.4881,0
13.45,118.15141,3.38983,0
13.47,118.23881,2.63852,0
13.49,118.32621,4.01146,8.03415
13.51,118.41361,2.38095,0
13.53,118.501,5.22388,0
13.55,118.5884,7.14286,0
13.57,118.6758,1.50215,3.88444
13.59,118.7632,0.98039,7.82396
13.61,118.8506,2.52101,0
13.63,118.93799,2.1875,0
13.65,119.02539,2.34742,0
13.67,119.11279,1.06007,0
13.69,119.20019,1.62338,0
13.71,119.28759,1.23967,13.41157
13.73,119.37498,1.00503,0
13.75,119.46238,2.39808,0
13.77,119.54978,4.52962,0
13.79,119.63718,2.31884,0
13.81,119.72458,2.77778,0
13.83,119.81197,2.39726,0
13.85,119.89937,1.07527,0
13.87,119.98677,2.24033,0
13.89,120.07417,0.65466,0
13.91,120.16157,0.50505,0
13.93,120.24897,0.69606,0
13.95,120.33636,1.80879,0
13.97,120.42376,2.26537,0
13.99,120.51116,0.64309,0
14.01,120.59856,0.9009,0
14.03,120.68596,1.39276,0
14.05,120.77335,0.61856,0
14.07,120.86075,2.32558,0
14.09,120.94815,0.74349,0
14.11,121.03555,2.04082,0
14.13,121.12295,0.44843,0
14.15,121.21034,1.02564,0
14.17,121.29774,0.68807,0
14.19,121.38514,0.26247,0
14.21,121.47254,2.00893,0
14.23,121.55994,0.69444,0
14.25,121.64734,0.48426,0
14.27,121.73473,2.13415,0
14.29,121.82213,0,0
14.31,121.90953,1.18694,0
14.33,121.99693,0.7109,0
14.35,122.08433,0,0
14.37,122.17172,0,19.65602
14.39,122.25912,0,0
14.41,122.34652,2.05279,0
14.43,122.43392,1.5748,0
14.45,122.52132,1.47059,0
14.47,122.60871,1.29032,0
14.49,122.69611,0.70755,0
14.51,122.78351,3.7234,0
14.53,122.87091,0.78431,0
14.59,123.1331,3.07018,0
14.61,123.2205,1.2012,0
14.63,123.3079,0.36101,0
14.65,123.3953,0,0
14.67,123.4827,0.31348,0
