# DESCRIPTION:
# Reference: Westerhold, T., Marwan, N., Drury, A. J., Liebrand, D., Agnini, C., Anagnostou, E., ... & Zachos, J. C. (2020). An astronomically dated record of Earth’s climate and its predictability over the last 66 million years. Science, 369(6509), 1383-1387, https://doi.org/10.1126/science.aba6853
#Data from: https://doi.org/10.1126/science.aba6853. Accessed 22 Nov 2022.
# Comment: Several variables from the original dataset are not included here.

age_tuned [Ma BP],d18O interp,d13C interp,d18O LOESS LongTerm,d13C LOESS LongTerm
0.912,4.253,-0.453,4.32486,-0.69304
0.914,4.245,-0.535,4.32325,-0.6915
0.916,4.200,-0.440,4.32167,-0.69003
0.918,4.229,-0.578,4.32012,-0.68862
0.920,4.300,-0.660,4.31861,-0.68727
0.922,4.349,-0.652,4.31714,-0.686
0.924,4.570,-0.970,4.31571,-0.6848
0.926,4.506,-1.349,4.31432,-0.68367
0.928,4.903,-1.725,4.31297,-0.68262
0.930,4.713,-1.208,4.31166,-0.68164
0.932,4.614,-1.177,4.31038,-0.68067
0.934,4.419,-0.933,4.3091,-0.67959
0.936,4.425,-1.058,4.30782,-0.67843
0.938,4.190,-1.600,4.30654,-0.67717
0.940,4.285,-0.907,4.30526,-0.67582
0.942,4.130,-0.510,4.30398,-0.67439
0.944,4.044,-0.521,4.30271,-0.67288
0.946,4.039,-0.562,4.30143,-0.67129
0.948,3.995,-0.475,4.30016,-0.66962
0.950,3.857,-0.550,4.29889,-0.66788
0.952,3.717,-0.127,4.29762,-0.66607
0.954,3.625,-0.298,4.29635,-0.66419
0.956,3.609,-0.150,4.29508,-0.66225
0.958,3.489,-0.433,4.29382,-0.66025
0.960,3.403,-0.423,4.29255,-0.65819
0.962,3.436,-0.232,4.29129,-0.65607
0.964,4.350,-0.910,4.29002,-0.6539
0.966,3.902,-0.899,4.28876,-0.65168
0.968,4.627,-0.793,4.2875,-0.64942
0.970,4.564,-0.616,4.28624,-0.64711
0.972,4.564,-0.427,4.28498,-0.64476
0.974,4.285,-0.540,4.28372,-0.64237
0.976,4.290,-0.183,4.28247,-0.63995
0.978,4.144,-0.293,4.28121,-0.63749
0.980,4.195,-0.595,4.27996,-0.63501
0.982,3.983,-0.347,4.2787,-0.63249
0.984,3.998,-0.798,4.27745,-0.62996
0.986,4.335,-0.475,4.2762,-0.6274
0.988,4.322,-0.809,4.27494,-0.62483
0.990,4.275,-0.620,4.27369,-0.62224
0.992,4.297,-0.332,4.27244,-0.61964
0.994,4.429,-0.657,4.27119,-0.61703
0.996,4.315,-0.364,4.26995,-0.61442
0.998,4.128,-0.066,4.2687,-0.6118
1.000,4.028,-0.094,4.26745,-0.60918
1.002,4.015,-0.245,4.26621,-0.60656
1.004,4.048,-0.202,4.26496,-0.60395
1.006,4.264,-0.600,4.26372,-0.60135
1.008,4.170,-0.625,4.26247,-0.59876
1.010,4.304,-0.220,4.26123,-0.59619
1.012,4.343,-0.290,4.25998,-0.59363
1.014,4.303,-0.308,4.25874,-0.59109
1.016,4.360,-0.630,4.2575,-0.58857
1.018,4.123,-0.152,4.25626,-0.58608
1.020,4.115,-0.255,4.25502,-0.58362
1.022,3.901,-0.221,4.25378,-0.58119
1.024,3.850,-0.195,4.25254,-0.5788
1.026,3.980,0.120,4.2513,-0.57644
1.028,3.899,-0.156,4.25006,-0.57413
1.030,4.032,-0.200,4.24882,-0.57186
1.032,4.123,-0.430,4.24758,-0.56963
